clause_text,label
"['we reserve the right to market and sell menu items and trade secret food products on the internet/world wide web.', 'we shall have no obligation to enforce similar covenants against any other system franchisee.', 'although we will not operate a buffalo wild wings or bw-3 business within the designated area, we reserve the right, both within and outside of the designated area, to offer and sell at special events (at our option, if you elect not to participate in such events) or at wholesale, through channels of distribution distinct from those of a franchised restaurant, products and services which comprise, or may in the future comprise a part of the system, which products may be resold at retail to the general public by such entities.', 'as a result, you agree that the following locations (""special sites"") are excluded from the designated area and we shall have the right to develop (by direct ownership or franchising) such locations: 1) public transportation facilities, including airports, train stations and bus stations; 2) military bases; 3) sports facilities, including race tracks; and 4) amusement and/or theme parks.']",Competitive Restriction Exception
"[""during the term, and for a period of [ * ] thereafter, google may audit distributor's relevant records to confirm distributor's compliance with this agreement.""]",Audit Rights
"['this agreement may not be assigned by any party or by operation of law or otherwise without the prior written consent of each of the other parties.', 'any attempted assignment in violation of this section shall be null and void.']",Anti-Assignment
"['licensee will<omitted>(c) avoid making disparaging, false or misleading statements or representations with regard to fox, the property or the wireless products,']",Non-Disparagement
"['if during the royalty term for a product in a country, one or more generic products of such product are sold in such country, and during any calendar quarter following the calendar quarter in which such generic product(s) are first sold in such country (the ""launch quarter"") net sales of such product in such country during any calendar quarter following the launch quarter are less than the designated percentage (as defined below) of average net sales occurring during the [***] immediately preceding the launch quarter (such average net sales during such calendar quarters, the ""base net sales""), then the royalty rates provided in section 9.3(a) for such product shall be reduced in such country by the ""applicable reduction percentage"" set forth below for such calendar quarter and for all future calendar quarters, unless and until the generic product is no longer sold or the net sales increase above the base net sales in a calendar quarter.', 'if sanofi enters into an agreement with a third party in order to obtain a license or other right to a third party right that is reasonably necessary to manufacture, use or sell a product (or the shp2 inhibitor contained therein) in a country pursuant to section 10.7, sanofi shall be entitled to deduct from the royalties payable under section 9.3(a) with respect to such product in such country in a particular calendar quarter [***] paid by sanofi to such third party in respect of such agreement for such calendar quarter, in each case to the extent reasonably allocable to such third party right and such product and country; provided that in no event shall the royalties payable for such product and country in any calendar quarter be reduced to less than [***]% of the amount otherwise due under section 9.3(a) (the ""royalty floor"").', 'subject to the other terms of this section 9.3, during the royalty term, sanofi shall make quarterly royalty payments to revmed on aggregate net sales of each product sold outside the united states during a calendar year at the applicable royalty rates as set forth below. for clarity, royalties shall only be payable once on any sale of product under this agreement.\n\naggregate net sales of each product outside the united states during a calendar year royalty rate portion of aggregate net sales of each product outside the united states during a calendar year less than or equal to $[***] [***]% portion of aggregate net sales of each product outside the united states during a calendar year greater than $[***] and less than or equal to $[***] [***]% portion of aggregate net sales of each product outside the united states during a calendar year greater than $[***] and less than $[***] [***]% portion of aggregate net sales of each product outside the united states during a calendar year greater than $[***] [***]% 45', ""in any country in which there is no valid claim and no regulatory exclusivity for such product, at the time of sale of such product in such country during the applicable royalty term, sanofi's obligation to pay royalties under section 9.3(a) on net sales of such product in such country shall be reduced to [***]% of the rates otherwise payable under such section."", 'if net sales of the applicable product in a country in a calendar quarter following the launch quarter for such country are:\n\na. lower than or equal to [***]%, but more than [***]%, of base net sales of the applicable product in such country, then the applicable reduction percentage shall be [***]%; or\n\nb. lower than or equal to [***]% of base net sales of the applicable product in such country, then the applicable reduction percentage shall be [***]%.', 'no later than the initiation of the first registrational clinical trial for the first product, sanofi and revmed shall enter into a profit/loss share agreement (the ""profit/loss share agreement"") pursuant to which the parties shall equally share the net profit and net loss (as defined in exhibit m of the correspondence) applicable with respect to commercialization of products (but, for clarity, not any costs of development) of products in the u.s.']",Revenue/Profit Sharing
"['in the event that the responsible party elects to abandon any applicable patent, the responsible party shall notify the review party in writing (such notice, an ""abandonment notice"") at least [***] ([***]) days prior to any filing or payment due date or any other due date that requires action to prevent loss of rights, and in the event that the review party provides the responsible party with written notice within [***] ([***]) days of receipt of the applicable abandonment notice, the review party shall thereafter have the right, [***], to conduct such filing, prosecution and maintenance for the applicable patent.']",Rofr/Rofo/Rofn
"[""in no event shall company's aggregate liability arising out of or in connection with this agreement exceed the amounts paid by company to consultant under this agreement for the services, deliverables or invention giving rise to such liability."", 'in no event shall company be liable to consultant or to any other party for any indirect, incidental, special or consequential damages, or damages for lost profits or loss of business, however caused and under any theory of liability, whether based in contract, tort (including negligence) or other theory of liability, regardless of whether company was advised of the possibility of such damages and notwithstanding the failure of essential purpose of any limited remedy.']",Cap On Liability
"[""pcq agrees to allow abw to co-brand the pcq software in order to provide a value added service on abw's world wide web site.""]",License Grant
"['the provisions of this agreement shall be binding upon and inure to the benefit of the parties hereto and their respective successors and assigns, provided, that, unless in connection with permitted transfers, neither party may assign, delegate or otherwise transfer any of its rights or obligations under this agreement to any person without the express written consent of the other party hereto and any such assignment or other transfer shall be null and void; provided, further, that no such assignment shall relieve the assigning party of its obligations hereunder if such assignee does not perform such obligations.']",Anti-Assignment
"['iso agrees that the initial amount of the offset account will be $[***] and, thereafter, the offset account will, at all times, maintain collected funds in an amount at least equal to the amount then due servicers hereunder (which shall be referred to herein as the ""minimum balance"").']",Minimum Commitment
"[""if, at any time during the contract period, company shall enter into any agreement (the terms of what are significantly the same as the terms hereof) in connection with the production and sale of company's products using the name, likeness, photographic representation or signature of any other national football league quarterback (active or retired), which agreement provides for the payment to such individual of remuneration in excess of that set forth herein, then company agrees it will immediately so notify pey dirt<omitted>and, at the same time, shall, retroactive to the effective date of such other agreement, increase the rate of remuneration paid to pey dirt hereunder up to the highest then-current rate paid by company to any such national football league quarterback (active or retired) for a regional endorsement deal.""]",Most Favored Nation
"[""upon expiration or termination of this agreement, but prior to the effectiveness of full termination of the agreement, at&t may exercise any rights and remedies available to at&t under this agreement, at law or in equity, including at&t's right to exercise any one or more of the termination remedies set forth in the build addendum, and vendor shall, upon the request and at the expense (other than termination in accordance with subsection (c) hereof) of at&t:<omitted>(ii) provide reasonable assistance as may be necessary for the orderly, non-disrupted continuation of the services, (iii) transfer all of the contracts related to the cell sites to at&t<omitted>as contemplated in the build addendum and (iv) reimburse at&t for any at&t provided equipment or other assets that are not installed at a cell site and cannot be returned in good working order (based on the acquisition costs plus taxes and shipping costs)."", 'vendor will maintain and retain the records set forth in subsection (a) during the term of the agreement and for three (3) years thereafter (unless a discovery or legal hold request is made with respect to such records, in which case vendor shall retain such records until at&t notifies vendor that such discovery or legal hold request has expired)', ""vendor shall, at at&t's option, return to at&t, or hold for at&t's disposition, any or all of such material provided by at&t under this agreement upon termination of this agreement or the withdrawal of the material furnished; provided however, that with respect to any scrap produced as a by-product remaining in vendor's possession at the completion of all work to be provided at a cell site, vendor shall, at at&t's option, return to at&t, or hold for at&t's disposition, such scrap material for a period of one hundred twenty (120) days following the earlier of location""]",Post-Termination Services
"['commerce one will replace any defective media returned to commerce one during the warranty period.', 'if during the warranty period the software and marketsite.net service does not perform in substantial compliance with the documentation, commerce one shall take all commercially reasonable efforts to correct the software and marketsite.net service, or if correction of the software and marketsite.net service is reasonably not possible, replace such software and marketsite.net service free of charge.', 'in addition, commerce one warrants that during the warranty period the software and marketsite.net service is free of any willfully introduced computer virus, or any other similar harmful, malicious or hidden program or data, which is designed to disable, erase, or alter the software, or any other files, data, or software.', ""in the event any such breach of warranty can not be reasonably corrected at commerce one's sole expense, corio has the right to terminate this agreement and receive a refund of all prepaid fees."", 'commerce one warrants that the software and marketsite.net service will perform in substantial accordance with the documentation, and the media on which the software is distributed will be free from defects in materials and workmanship under normal use, for a period of sixty (60) days from the effective date, but in no event not later than december 31, 1999 (the ""warranty period"").']",Warranty Duration
"['with respect to any intellectual property developed by bli or its affiliates in collaboration or on behalf of a third party during the term of this agreement that is [***] for (a) [***] or (b) [***], with respect to each, bli and its affiliates shall [***] to [***] that bli or its affiliates control such intellectual property so that bli may grant a license to ginkgo with respect to such intellectual property as set forth in section 9.1 (grants to ginkgo).', 'subject to the terms and conditions of this agreement, and in consideration for the payments to bli under this agreement, during the term, bli, on behalf of itself and its affiliates, hereby grants and shall grant to ginkgo a non-exclusive, sublicensable (solely in accordance with section 9.1.4 (consent to sublicense)), non-transferable, non-royalty-bearing (subject to section 13.3.2 (effects of termination based upon ginkgo buy-down election)) worldwide license in, to and under (i) bli background ip, and (ii) other intellectual property that is controlled by bli and that is [***] bli inventions, with both of (i) and (ii) being limited to what is necessary for ginkgo to [***] and (iii) the collaboration intellectual property solely to:\n\n(a) perform research [***] on biological entities, including organisms, cells and strains (and sub-components thereof);\n\n(b) (i) design and develop (a) collaboration workflows as generally contemplated under a workflow development plan and (b) ginkgo workflows as permitted under this agreement and (ii) use [***] workflows to conduct the activities set forth in clause (a) and clause (c) of this section 9.1.1 (scope of grants);\n\n(c) perform commercial research [***] and other commercial services for third parties; and\n\n(d) in each case of clauses (a) through (c) of this section 9.1.1 (scope of grants), the license granted is for activities solely within the licensed field.']",Affiliate License-Licensor
"['the parties will ensure that marketing, promotional and selling plans promote the sale of the natural products in a manner that is consistent with this agreement and complementary to roundup products, and does not directly or indirectly disparage or advertise against roundup products, as set forth in this agreement.', 'the agent shall not use or facilitate the use of promotional materials which disparage roundup products or industrial property.']",Non-Disparagement
"['licensor on behalf of itself and its affliates hereby grants to licensee the limited licenses to use and have used the licensed mark: (i) for the licensed products as set forth on schedule 2; and (ii) as set forth on schedule 1, concerning agreements entered into by licensee prior to the effective date (""existing agreements"").', 'for the avoidance of doubt, licensor also grants to licensee and its subsidiaries and affiliates a non-exclusive, worldwide royalty-free license for continued use of the licensed mark for the production and sale of inventory containing the licensed mark applied to such products during the transition period as set forth in section 8.2 of the separation and distribution agreement and in schedule 2 of this agreement.', 'licensee will not, however, use the licensed mark except for the production and sale of inventory as provided in this section 1.1 and in section 8.2 of the separation and distribution agreement and schedule 2 of this agreement.']",License Grant
"['accurate and complete books of account of the transactions of the joint venture will be kept in accordance with generally accepted accounting principles (gaap) and at all reasonable times will be available and open to inspection and examination by any participant.', 'the audit will be performed by an accounting firm acceptable to all the participants.', 'any of the participants will have the right to request an audit of the joint venture books.', 'not more than one (1) audit will be required by any or all of the participants for any fiscal year.', 'the cost of the audit will be borne by the joint venture.']",Audit Rights
"[""neither party shall be entitled to recover from the other party any special, incidental, consequential or punitive damages in connection with this agreement; provided however, that this section 10.5 shall not be construed to limit (a) either party's right to special, incidental or consequential damages for the other party's breach of article 8 or (b) either party's indemnification rights or obligations under article 11.""]",Uncapped Liability
"['notwithstanding the foregoing, either party shall be permitted to assign this agreement and any of its rights and obligations hereunder to an affiliate or related company or to a purchaser of all or substantially all of its internet business, without obtaining the prior written consent of the other party.', 'except as provided in this section, neither party may assign its rights or obligations under this agreement without the prior written consent of the other party, which shall not be unreasonably withheld.']",Anti-Assignment
"[""during the term and for a period of [***] ([***]) months following the term of this agreement, other than pursuant to sections 13.3.2 (effects of termination based upon ginkgo's buy-down election) or 13.3.3 (effects of termination based upon an uncured ginkgo breach, insolvency or force majeure event), bli shall not, and shall cause its affiliates not to, directly or indirectly, itself or with or through a third party, develop, configure, customize, license, sell, provide or otherwise give access to the beacon platform or any [***] to, [***] or its affiliates for any use; provided that this restriction shall terminate as set forth in section 13.3 (effects of expiration or termination) or if ginkgo has not satisfied its minimum cumulative purchase commitments (as such may be adjusted under this agreement) for a full contract year, including [***] as permitted under section 7.2.2(a) (minimum cumulative purchase commitments) or section 7.2.2(b)(iii) (development purchase commitments); provided that bli will provide written notice to ginkgo within [***] ([***]) days of the end of any contract year with respect to which bli believes that ginkgo has not satisfied its minimum cumulative purchase commitment."", 'except as provided in this section 6.2.1 (restrictions on bli) and the scope of rights granted to<omitted>ginkgo under this agreement (including under section 6.1 (headstart period) and section 9.1 (licenses to ginkgo)), nothing in this agreement shall otherwise limit, prohibit or preclude bli from developing, configuring, customizing, licensing, selling or providing the beacon platform or collaboration workflows for itself or to a third party for any uses or otherwise entering into a business or advisory arrangement with any third party.']",Competitive Restriction Exception
"[""except for the performance of the merchant processing services, the company will not subcontract any of its obligations under this agreement to a third party, including the provision of any services, without allscripts' prior written consent."", 'any assignment, delegation, or other transfer without such prior written consent will be null and void.', ""neither party may assign or otherwise transfer any of its rights, or delegate or otherwise transfer any of its obligations or performance, under this agreement, in each case whether voluntarily or involuntarily, without the other party's prior written consent, which will not be unreasonably withheld, conditioned, or delayed.""]",Anti-Assignment
"[""nantz agrees to be available for up to four photography sessions (2 in southern california during the week and 2 to be at nantz's site locations or tournaments), two speaking engagements, and three store appearances each contract year, at times and places mutually convenient for nantz and the company but in no event at times which adversely impact on the schedules of nantz communications or nantz."", 'the company agrees that each photography session shall not exceed one and one-half days and each speaking engagement and store appearance shall not exceed one-half day.']",Volume Restriction
"[""franchisee shall not challenge, directly or indirectly, franchisor's interest in, or the validity of, any franchisor property, or any application for registration or trademark registration thereof or any rights of franchisor therein.""]",Covenant Not To Sue
"[""notwithstanding anything to the contrary herein, in the event company incurs any expenses, damages or other liabilities (including, without limitation, reasonable attorneys' fees) in connection with the performance or non-performance of any term or provision hereof, licensor's liability to company shall not exceed the remuneration, excluding reimbursement of expenses, actually paid to licensor by company."", 'in no event will licensor be liable for any indirect, incidental, reliance, special or consequential damages arising out of the performance or non-performance of this agreement, whether or not licensor had been advised of the possibility of such damages.']",Cap On Liability
"[""in no event shall, ximage be liable to morpho for any incidental, consequential, special or indirect damages (including without limitation, damages arising from loss of business, data, profits or goodwill) incurred or suffered by morpho in connection with, or arising out of, this agreement or morpho's use of any documentation or software or services provided, or to be provided, hereunder, even if ximage has been apprised of the likelihood of the same. no action, regardless of form, related to transactions occurring under, or contemplated by, this agreement may be brought by either party more than one (1) year after the cause of action has accrued."", ""morpho agrees that ximage's total liability to morpho for any damages suffered in connection with, or arising out of, this agreement or morpho's use of any documentation, product or service provided (or to be provided) hereunder, regardless of whether any such liability is based upon contract, tort or other basis, shall be limited to an amount not to exceed the basic monthly maintenance charges, for a sixty (60) day term under this agreement.""]",Cap On Liability
"['this agreement shall not be assigned by either party hereto, without the prior written consent of the other party hereto.']",Anti-Assignment
['neither this agreement nor any right created by it shall<omitted>be assignable by either party without the prior written consent of the other or as stated herein.'],Anti-Assignment
['either party may terminate this agreement by providing ninety days written notice.'],Termination For Convenience
"['notwithstanding the foregoing, if company elects to abandon any patent application, to not pay maintenance fees or annuities to keep a patent in force, or to otherwise take or fail to take any action that will result in a loss of patent rights, company shall give investor at least sixty (60) days prior written notice and an opportunity to take over the prosecution of the patent application that would be abandoned and/or pay the fees necessary to keep the patent in force and/or take any other action necessary to avoid the loss of patent rights.', 'prior to the earlier of investor exercising the option and the expiration of the option period, company will not grant to any third party any rights to the patents or to the technical information that extend beyond the expiration of the option period.']",Rofr/Rofo/Rofn
"['each party agrees that during the term of this agreement and for a period of twelve (12) consecutive months thereafter they shall not, directly, solicit, engage, compensate, induce in any way or hire for employment or other representation, any officer, employee, consultant or other representative employed or retained by the other party or assist any other person or entity to do any of the foregoing.']",No-Solicit Of Employees
"[""no party shall be liable for consequential, incidental, punitive, exemplary or indirect damages, lost profits or other business interruption damages, by statute, in tort or contract, or otherwise; provided, however, that this limitation shall not limit a party's right to recovery hereunder for any such damages to the extent such party is required to pay such damages to a third party in connection with a matter for which such party is otherwise entitled to indemnification hereunder.""]",Cap On Liability
"['a change of control shall be deemed an assignment for purposes of this agreement.', ""in the event that vyera experiences a change of control with a third party that is actively engaged in the development, manufacture or commercialization of a competitive product, then, vyera shall either: (a) within ninety (90) days after the closing of such change of control, enter into a binding written agreement to sell, transfer, assign or divest all of vyera's and/or its affiliate's rights in and to such competitive product to a non-affiliate third party and consummate such sale, transfer, assignment or divestiture of said rights not later than ninety (90) days following the date of the binding agreement; or (b) within six (6) months after the closing of such change of control, terminate any and all development, manufacturing, commercialization and/or other exploitation of such competitive product; or (c) terminate this agreement in accordance with section 11.2(c)."", 'for clarity, nothing in this agreement shall prohibit vyera from undergoing any change of control, but if vyera undergoes a change of control, it will be subject to section 2.6.']",Change Of Control
"['once you have units open and operating in the trade area where a national account is located, we will remit to you 25% of the profits derived from the sales in that specific trade area.', 'you shall pay to us a royalty fee based on revenue generated by unit franchisees (the ""unit franchise performance royalty fee"") equal to twenty-five percent (25%) of aggregate royalty fees paid to you by unit franchisees in the master territory pursuant to their unit franchise agreements.', 'you shall pay to us a franchise sales royalty fee (the ""franchise sales royalty fee"") for each unit franchise you sell in the master territory as follows: twenty-five percent (25%) of the initial franchise fee collected from each unit franchisee upon execution of the unit franchisee\'s franchise agreement (a ""unit franchise agreement""); provided, however, that if you elect to discount or reduce an initial franchise fee for any reason, the franchise sales royalty fee shall be payable to us as if the full initial franchise fee had been paid.']",Revenue/Profit Sharing
"['bioamber and cargill agree to waive any and all claims against each other for consequential, punitive, incidental, special, or other forms of ""exemplary"" losses whether arising in contract, warranty, tort (including negligence), strict liability, or otherwise, including any losses relating to lost use, lost profits, lost business, damage to reputation, or lost or diminished financing unless such claims are based on a party\'s gross negligence or willful misconduct.']",Cap On Liability
"['if termination is the result of a change of control, distributor shall be entitled to receive a onetime payment, within three (3) business days of the effective date of the change of control, equal to the greater of the following 1) the aggregate amount of the distributor share received during the 18 months prior to the effective date of such change of control or 2) the aggregate amount of the distributor share received on the 30 days prior to the effective date of such change of control multiplied by 18.', 'this agreement may be terminated as follows:<omitted>(b) immediately upon the occurrence of any of the following events and effective upon delivery of notice:<omitted>(8) by either party, if hydraspin undergoes a change of control<omitted>']",Change Of Control
"['subject to the terms of this agreement, exact on behalf of itself and its affiliates, hereby grants to pfizer a non-exclusive, royalty free license, with the right to sublicense to one or more of its affiliates, under the exact house marks, the exact trademarks and the exact copyrights, during the term, to the extent necessary or appropriate to allow pfizer and its affiliates to carry out activities under this agreement including to promote and detail the product in the co-promote field in the territory.']",License Grant
"[""the transaction entities and each of their respective subsidiaries are insured by insurers with appropriately rated claims paying abilities against such losses and risks and in such amounts as are prudent and customary for the businesses in which they are engaged; all policies of insurance and fidelity or surety bonds insuring the transaction entities, their respective subsidiaries or their respective businesses, assets, employees, officers and directors are in full force and effect; neither of the transaction entities nor any of their respective subsidiaries has been refused any insurance coverage sought or applied for; neither of the transaction entities nor any of their respective subsidiaries has any reason to believe that it will not be able to renew its existing insurance coverage as and when such coverage expires or to obtain similar coverage from similar insurers as may be necessary to continue its business at a similar cost as currently paid, except as set forth in or contemplated in the registration statement, the general disclosure package and the prospectus; and the company has obtained or will obtain directors' and officers' insurance in such amounts as is customary for companies engaged in the type of business conducted by the company.""]",Insurance
"['the company shall not sell, transfer or otherwise attempt to convey or dispose of any part of the fiber ring assets, other than sales and leases of capacity or of individual fiber strands in the ordinary and usual course of business unless the provider consents to such transaction, which consent will not be withheld if, (a) the proposed transferee consents in writing to the assumption of all obligations of the company under this agreement, including those obligations to be undertaken under other agreements pursuant to section 3.3, and (b) all governmental approvals (under city rights agreements or otherwise) have been obtained, with the provider having the right (if it elects) to coordinate such efforts if it is the counterparty under such agreements requiring approval (with the company to pay the reasonable costs of doing so).', 'this agreement and the rights and obligations hereunder may be assigned by the provider upon written notice to the company.']",Anti-Assignment
"['verticalnet hereby grants to neoforma a non-exclusive, non-transferable license to use, reproduce, display and transmit the verticalnet content, solely in connection with the operation of the neoforma site, subject to and in accordance with the terms, conditions and provisions of this agreement.', 'neoforma hereby grants verticalnet a non-exclusive, non-transferable, royalty-free, right and license to link to the neoforma sites through a neoforma link.', 'any advertising inventory that neoforma appoints verticalnet to arrange to sell shall not also be appointed to any third party to arrange for sale to third parties.', 'verticalnet hereby grants to neoforma a non-exclusive, non-transferable, royalty-free, right and license to link to the verticalnet sites through a verticalnet link.']",Non-Transferable License
"['subject to the terms and conditions set forth herein, theismann hereby grants to bizzingo and its affiliates the unlimited right and privilege during the term (as defined herein) and within the territory to use the property (as defined herein) in connection with the advertisement, promotion, and sale of the network in the territory whether through film, television, radio, print and internet media, including the right to use the property in or on the network. i', 'it being understood and agreed that bizzingo shall have the right to exhibit commercials, infomercials, advertisements and otherwise make use of all property on a worldwide basis and that bizzingo and its affiliates shall be the sole owner of all commercials, promotional materials and other items produced or created hereunder and all related rights worldwide, including, without limitation, copyright, trademark and intellectual property rights, subject however to the terms and conditions herein.']",License Grant
"[""distributor shall not do anything which is contrary to or which in erchonia's reasonable business judgment is harmful to its honor, goodwill or reputation.""]",Non-Disparagement
['mlx will use all commercially reasonable efforts to maintain the user traffic at a monthly minimum of:\n\n . [*] page views three (3) months after the launch of the co-branded site;\n\n . [*] page views six (6) months after the launch of the co-branded site; and\n\n . [*] page views twelve (12) months after the launch of the co-branded site.'],Minimum Commitment
