clause_text,label
"['any purported transaction not specifically permitted under this section 14.3 shall be null and void ab initio.', ""notwithstanding the foregoing, this agreement and all rights and duties hereunder shall not, without the prior written consent of client, in any manner be assigned, mortgaged, licensed, or otherwise transferred or encumbered by efs or by operation of law; provided, however, that efs may assign this agreement to an acquirer of all or substantially all of its assets without client's consent, but only in the event that in client's reasonable determination (a) key efs management (as defined by client at the time of acquisition) will remain indefinitely with efs or replacement management is reasonably acceptable to client and no less experienced than those in place as of the effective date hereof; (b) the acquirer can demonstrate to client's reasonable satisfaction the availability of financial resources, and the ability and intention, to<omitted>adequately invest in growing the playboy commerce business (by way of example, the acquirer shall have a minimum net worth equal to or above that of efs as of the effective date hereof); (c) such assignment will not have a detrimental impact on the playboy commerce business or client's other businesses; and (d) the acquirer is otherwise able to honor all financial terms and assume all obligations of efs hereunder."", ""in addition, efs may not assign this agreement without client's consent to a competitor of client or any of client's businesses.""]",Anti-Assignment
"[""these records will be available for inspection during regular business hours upon reasonable notice by anixa, or its duly authorized representative, at anixa's expense, for three (3) years following the end of the calendar year in which such expenses are invoiced."", ""each party will provide the other party with the right to inspect such records, and upon request will provide copies of all such records, to the extent reasonably required for the exercise or performance of such other party's rights or obligations under this agreement, provided that any information disclosed under this section 2.7 will be subject to the terms and conditions of section 5.""]",Audit Rights
"['you acknowledge that we will have no liability to you or any regulatory authority for any failure by you to obtain or maintain during the term of this agreement any necessary licenses or approvals required for the operation of the franchised business.', ""each party to this agreement agrees that any and all claims and actions arising out of or relating to this agreement, the parties' relationship, and/or your operation of the franchised business, brought by any party hereto against the other, shall be commenced within one (1) year from the occurrence of the facts giving rise to such claim or action, or, it is expressly acknowledged and agreed by all parties, such claim or action shall be irrevocably barred; provided, however, that the time limit for filing claims contained in this section 27.7 shall not apply<omitted>to claims or actions arising under the illinois franchise disclosure act."", 'any claims arising under the maryland franchise registration and disclosure law must be brought within three (3) years after the grant of the franchise.', 'each party to this agreement hereby waives to the fullest extent permitted by law any right to or claim of any punitive or exemplary damages against the other, and agree that in the event of a dispute between them each shall be limited to the recovery of any actual damages sustained by it.', 'any claims arising under the maryland franchise registration and disclosure law must be brought within 3 years after the grant of the franchise.']",Cap On Liability
['no party may assign this agreement without the prior written consent of the other party.'],Anti-Assignment
"['smith hereby grants to tda the following rights (the ""rights""):\n\n (a) the right to use and reuse smith\'s name, voice, likeness, facsimile signature, personal statistics, biographical information and any reproduction or simulation thereof (""smith\'s likeness"") in tda\'s golf instruction related products and on packaging for tda\'s golf instruction related products in any fashion, said grant of rights being limited to the world (the ""contract territory"")"";\n\n (b) the right to use and reuse smith\'s likeness in tda\'s general internal, non-public corporate promotional materials (such as tda\'s annual report), corporate advertising and in other forms of publicity;\n\n (c) the right to use and reuse smith\'s likeness in and in connection with the marketing, advertising, promoting and publicizing of tda\'s golf instruction related products, by any and all means now known or hereafter developed;\n\n (d) the exclusive right to use and reuse the results and proceeds of the in connection with tda\'s golf instruction related products; and\n\n (e) with smith\'s prior reasonable approval, the right to license to third parties any of the foregoing rights but only in connection with or directly related to the marketing and sale of tda\'s golf instruction related products.', ""without limiting the foregoing, tda shall, during the term (and, subject to the limitations and conditions on the rights as set forth in this agreement, thereafter) have the full and complete right to revise, telecast, broadcast, use, distribute, reproduce, record, publish, print, license, copyright and exhibit the contents of any results and proceeds, the golf instruction related products and any advertising materials and any versions or revisions thereof and, in tda's sole discretion, the results and proceeds, the golf instruction related products and advertising materials may be make by any process, instrumentation or device now known or hereafter developed and may be made or adapted for use in any and all media now known or hereafter developed (although it is acknowledged and agreed by tda that multi-media usage (except, of course, as incorporated into tda's golf instruction related products) shall be strictly limited to advertising) provided that any and all such uses are directly related to the marketing, development and sale of tda's golf instruction related products.""]",License Grant
"['the creating party grants to the other party a time-limited first right to negotiate a commercial license to use, reproduce, display, and perform commercially valuable copyright materials for commercial purposes, and to distribute and/or sublicense such commercially valuable copyright materials to third parties.']",Rofr/Rofo/Rofn
"['otis and carrier, on behalf of themselves and the other members of, respectively, the otis group and the carrier group, agree and promise not to (a) challenge in any jurisdiction or venue the right or title of utc or any other members of the utc group in and to any united technologies trademark, or the validity or enforceability of any united technologies trademark or any registration thereof, or (b) register or renew, attempt to register or renew, or assist a person other than utc or a member of the utc group in registering or renewing, any united technologies trademark.']",Covenant Not To Sue
['a party may terminate the jsma immediately upon the delivery of written notice to the other party if there has been a change in control.'],Change Of Control
"[""neither the company nor any of its affiliates shall in any manner, directly or indirectly, in any capacity or manner, make or cause to be made, or in any way encourage any other person to make or cause to be made, any public statement or public announcement, including in any document or report filed with or furnished to the sec or through the press, media, analysts or other persons, that constitutes an ad hominem attack on or otherwise disparages, defames or slanders the farids group or any of its affiliates or any of their respective successors or current or former members, partners, officers, directors or employees (it being understood and agreed that the restrictions in this section 8.8(a) shall not apply to any member of the board of directors based upon discussions solely among other members of the board of directors and/or management of the company); provided, that the limitations set forth in this section 8.8(a) shall not prevent the company or any of its affiliates from (i) responding to any public statement or announcement made by the farids group or any of its affiliates that was made in breach of section 8.8(b) below or (ii) if solicited by a third party, making objective statements that reflect the company's view with respect to factual matters concerning specific acts or determinations of the farids group or any of its affiliates (or their respective current or former representatives) occurring after the date hereof."", ""neither the farids group nor any of its affiliates shall in any manner, directly or indirectly, in any capacity or manner, make or cause to be made, or in any way encourage any other person to make or cause to be made, any public statement or public announcement, including in any document or report filed with or furnished to the sec or through the press, media, analysts or other persons, that constitutes an ad hominem attack on or otherwise disparages, defames or slanders the company or any of its affiliates or any of their respective successors or current or former members, partners, officers, directors or employees; provided, that, the limitations set forth in this section 8.8(b) shall not prevent the farids group or any of its affiliates from (i) responding to any statement made by the company or any of its affiliates or representatives that was made in breach of section 8.8(a) above or (ii) if solicited by a third party, making objective statements that reflect the farids group's or any of its affiliates' view with respect to factual matters concerning specific acts or determinations of the company, any of its affiliates or any current or former representatives of the company or any of its affiliates occurring after the date hereof. for the avoidance of doubt, a public statement or announcement shall only be deemed to be made by the farids group or any of its affiliates if such public statement or announcement is made by (x) a farids manager, director or executive officer or an ea manager, director or executive officer (y) an employee or representative of farids or ea authorized to make such statement or announcement on behalf of farids or ea, as applicable.""]",Non-Disparagement
"[""subject to corio's payment of the annual support and maintenance fee, commerce one's support and maintenance obligation of the software and marketsite.net service shall continue after termination or expiration of this agreement with respect to all software users granted access to the software and marketsite.net service prior to termination or expiration of this agreement.""]",Post-Termination Services
"['this agreement and the rights granted hereunder shall not be assigned, encumbered by security interest or otherwise transferred by the reseller without the prior written consent of todos, except for the assignment or transfer of rights to a subsidiary company or an affiliated company.']",Anti-Assignment
"['if termination is the result of a change of control, distributor shall be entitled to receive a onetime payment, within three (3) business days of the effective date of the change of control, equal to the greater of the following 1) the aggregate amount of the distributor share received during the 18 months prior to the effective date of such change of control or 2) the aggregate amount of the distributor share received on the 30 days prior to the effective date of such change of control multiplied by 18.', 'this agreement may be terminated as follows:<omitted>(b) immediately upon the occurrence of any of the following events and effective upon delivery of notice:<omitted>(8) by either party, if hydraspin undergoes a change of control<omitted>']",Change Of Control
"['reseller will not make an offer of<omitted>employment to any former employee of touchstar for a period of four (4) months after such employee leaves the employ of touchstar.', ""during the term, and for a period of one year following the termination or expiration of this agreement, reseller will not, directly or indirectly, make an offer of employment to any current employee of touchstar or otherwise encourage or solicit any current employee of touchstar to leave the employ of touchstar for any reason, or to devote less than all of such employee's efforts to the affairs of touchstar, without (a) the prior written agreement of touchstar, which touchstar may grant in its sole discretion, and (b) the payment by reseller to touchstar of a mutually agreeable severance fee.""]",No-Solicit Of Employees
"['netgear, at its expense, agrees to maintain insurance coverage to protect against its liabilities under the agreement in an amount no less than is reasonable or required by applicable statute.', ""this insurance will include (a) worker's compensation insurance, (b) comprehensive general liability insurance, including coverage for product liability, bodily injury and property damage, and (c) automobile liability insurance."", ""upon distributor's written request, netgear will furnish the applicable certificate of insurance.""]",Insurance
"[""after the initial twelve months of this agreement, vip may adjust the rates in schedule a to vip's then current standard rates for such services, provided that it provides bnl with notice of any such adjustment not less ~han thirty (30) days prior to any such adjustment and that such rates shall not increase by more than ten ( 10% ) percent per year .""]",Price Restrictions
"[""the company hereby grants the mbe centers a [***]* under all of --- company's intellectual property rights solely to access and use the service in accordance with the terms and conditions of this agreement and the subscription agreement."", 'each party (the ""granting party"") hereby grants the ------------------ -------------- other party (the ""using party"") a limited license to use its brand features in ----------- connection with the marketing, distribution, provision of access to, and support of the service.', 'each party hereby grants to the other party a ------------------- [***]* (except as provided in section 18(b) [assignment](""assignment"")), [***]* (with no --- --- right to sublicense except as set forth below) under all of its intellectual property rights to use, reproduce, modify, and create derivative works of each party\'s preexisting intellectual property rights solely as is reasonably and actually necessary to complete the development of the service.']",License Grant
"['customer shall be required to order<omitted>pursuant to a purchase order at least the amount of product set forth in the firm order for such product in the applicable calendar month.', 'during the exclusivity period, on a product sku-by-product sku and country-by-country basis within the applicable territory, customer shall purchase from manufacturer, in accordance with the terms and conditions of this agreement, at least the exclusive purchase requirement of its requirements for such product sku in such country; provided, however, that in-flight or shared volume products shall be excluded from the exclusivity requirements set forth in this section 2.1(e)(i).', 'notwithstanding section 2.4(e)(i), customer acknowledges and agrees that (a) each purchase order customer places hereunder for product that is either api or bulk drug product shall be equal to, or a whole multiple of, the batch size for such applicable product as set forth in the applicable facility addendum and (b) each purchase order that customer places hereunder for product that is finished product shall be equal to or greater than the minimum order quantity for such applicable product as set forth in the applicable facility addendum; provided that, where customer places purchase orders under (b) above that exceed the applicable minimum order quantity, customer shall<omitted>place such purchase orders for such excess quantities in increments above the minimum order quantity as specified in the applicable facility addendum.']",Minimum Commitment
"[""nantz agrees to be available for up to four photography sessions (2 in southern california during the week and 2 to be at nantz's site locations or tournaments), two speaking engagements, and three store appearances each contract year, at times and places mutually convenient for nantz and the company but in no event at times which adversely impact on the schedules of nantz communications or nantz."", 'the company agrees that each photography session shall not exceed one and one-half days and each speaking engagement and store appearance shall not exceed one-half day.']",Volume Restriction
"['except in cases of gross negligence, willful misconduct or fraud, indemnification claims under section 5 or breaches of section 2 (trademarks), 8 (confidentiality), or 9 (no agency relationship), in no event shall either party or its officers, directors, or employees be liable to the other party in connection with the subject matter hereof, for any special, indirect, consequential or punitive damages of any kind, lost profits or lost revenue, whether arising in contract, tort, negligence, statute, or otherwise, even if advised of the possibility thereof.']",Cap On Liability
"['this agreement and all of the provisions hereof shall be binding upon and inure to the benefit of the parties and their respective successors and permitted assigns (including by operation of law), but neither this agreement nor any of the rights, interests or obligations hereunder shall be assigned by any party, whether by operation of law or otherwise, without the prior written consent of the other party; provided that either party may collaterally assign its rights under this agreement to any party providing debt or equity financing to such party without the consent of the other party.']",Anti-Assignment
"['we will then have the prior right and option, to be exercised by notice given at any time before the effective date of such proposed assignment and assumption, to accept an assignment of the agreement to us upon the same terms and conditions, and for the same consideration, if any, as in the bona fide offer made by the proposed assignee, less any brokerage commissions that may be payable by you out of the consideration to be paid by such assignee for the assignment of the agreement.', ""if, for any reason, this agreement is not terminated pursuant to this section 17, and the agreement is assumed, or assignment of the same to any person or entity who has made a bona fide offer to accept an assignment of the agreement is contemplated, pursuant to the u.s. bankruptcy code, then notice of such proposed assignment or assumption, setting forth: (a) the name and address of the proposed assignee; and (b) all of the terms and conditions of the proposed assignment and assumption; must be given to us within twenty (20) days after receipt of such proposed assignee's offer to accept assignment of the agreement; and, in any event, within ten (10) days before the date application is made to a court of competent jurisdiction for authority and approval to enter into such assignment and assumption.""]",Rofr/Rofo/Rofn
"[""the parties intend that any and all goodwill in the brand arising from licensee's or any applicable sublicensees' permitted activity shall inure solely to the benefit of licensor."", 'notwithstanding the foregoing, in the event that licensee or any sublicensee is deemed to own any rights in the brand, licensee hereby irrevocably assigns (or shall cause such sublicensees to assign), without further consideration, such rights to licensor together with all goodwill associated therewith.']",Ip Ownership Assignment
"['company obligations. (i) immediately cease all representation of an existing relationship with distributor; (ii) all medication inventory is owned by smart rx systems, inc. only; and (iii) distributor shall continue to receive net income per customer location for so long as customer continues to utilize the products.']",Post-Termination Services
"[""workers' compensation insurance with benefits afforded under the laws of any state in which the work is to be performed and employers liability insurance with limits of at least:\n\n$500,000 for bodily injury - each accident $500,000 for bodily injury by disease - policy limits $500,000 for bodily injury by disease - each employee"", 'if applicable, vendor will maintain products/completed operations for at least two (2) years following completion of the work.', 'to the extent that vendor utilizes drones, aircraft liability insurance covering drones and similar devices, with limits of one million and no/100 dollars ($1,000,000.00) combined single limit for bodily injury and property damage and providing coverage on a worldwide basis and including commercial use and hired operations.', 'to the fullest extent allowable by law, the policy must include a waiver of subrogation in favor of at&t, its affiliates, and their directors, officers and employees. i', 'umbrella/excess liability insurance with limits of at least $10,000,000 each occurrence, claim or wrongful act with terms and conditions at least as broad as the underlying commercial general liability, business automobile liability, and employers liability policies. umbrella/excess liability limits will be primary and non-contributory with respect to any insurance or self-insurance that is maintained by at&t.', 'professional liability (errors & omissions) insurance with limits of at least $5,000,000 each claim or wrongful act.', 'the commercial general liability insurance policy must:\n\n1. include at&t, its affiliates, and their directors, officers, and employees as additional insureds. vendor shall provide a copy of the additional insured endorsement to at&t. the additional insured endorsement may either be specific to at&t or may be ""blanket"" or ""automatic"" addressing any person as required by contract. a copy of the additional insured endorsement must be provided within sixty (60) days of execution of this agreement and within sixty (60) days of each commercial general liability policy renewal;\n\n2. include a waiver of subrogation in favor of at&t, its affiliates, and their directors, officers and employees; and\n\n3. be primary and non-contributory with respect to any insurance or self-insurance that is maintained by at&t.', ""at all times and at vendor's expense, vendor shall maintain property insurance for all perils, for full replacement cost for all property of at&t in the care, custody and control of the vendor."", 'with respect to vendor\'s performance under this agreement, and in addition to vendor\'s obligation to indemnify, vendor shall at its sole cost and expense:\n\n(i) maintain the insurance coverages and limits required by this section and any additional insurance and/or bonds required by laws:\n\n1. at all times during the term of this agreement and until completion of all work associated with this agreement, whichever is later; and\n\n2. with respect to any coverage maintained in a ""claims-made"" policy, for two (2) years following the term of this agreement or completion of all work associated with this agreement, whichever is later. if a ""claims-made"" policy is maintained, the retroactive date must precede the commencement of work under this agreement;\n\n(ii) require each subcontractor who may perform work under this agreement or enter upon any cell site to maintain coverages, requirements, and limits at least as broad as those listed in this section, when prorated for the value of the work to be performed by such subcontractor from the time when the subcontractor begins work, throughout the term of the subcontractor\'s work and, with respect to any coverage maintained on a ""claims made"" policy, if any, for two (2) years thereafter;\n\n(iii) procure the required insurance from an insurance company eligible to do business in the state or states where work will be performed and having and maintaining a financial strength rating of ""a-"" or better and a financial size category of ""vii"" or better, as rated in the a.m. best key rating guide for property and casualty insurance companies, except that, in the case of workers\' compensation insurance, vendor may procure insurance from the state fund of the state where work is to be performed; and<omitted>(iv) if requested, provide to at&t or at&t\'s third party administrator certificates of insurance stating the types of insurance and policy limits. vendor shall provide or have the issuing insurance company provide at least thirty (30) days\' advance written notice of cancellation, non-renewal, or reduction in insurance coverage, terms, or limits.', ""in states where workers' compensation insurance is a monopolistic state-run system, vendor shall add stop gap employers liability with limits not less than $500,000 each accident or disease."", 'commercial general liability insurance written on insurance services office (iso) form cg 00 01 12 04 or a substitute form providing equivalent coverage, covering liability arising from premises, operations, personal injury, products/completed operations, and liability assumed under an insured contract (including the tort liability of another assumed in a business contract) with limits of at least:\n\n$2,000,000 general aggregate limit $1,000,000 each occurrence limit for all bodily injury or property damage incurred in any one (1) occurrence $1,000,000 each occurrence limit for personal injury and advertising injury\n\nproprietary and confidential this agreement and information contained therein is not for use or disclosure outside of at&t, its affiliates, and third party representatives, and vendor except under written agreement by the contracting parties. 26\n\nsource: atn international, inc., 10-q, 11/8/2019\n\n\n\n\n\n$1,000,000 each occurrence limit for products/completed operations', 'explosion, collapse, and underground damage liability will have the same limit requirement as the commercial general liability policy.', ""the parties agree that:\n\n(i) the failure of at&t to request such certificate of insurance or failure of at&t to identify a deficiency will not be construed as a waiver of vendor's obligation to maintain the insurance required under this agreement;\n\n(ii) the insurance required under this agreement does not represent that coverage and limits will necessarily be adequate to protect vendor, nor shall it be deemed as a limitation on vendor's liability to at&t in this agreement;\n\n(iii) vendor may meet the required insurance coverages and limits below with any combination of primary and umbrella/excess liability insurance; and\n\n(iv) vendor is responsible for any deductible or self-insured retention."", 'property insurance with limits sufficient to cover the full replacement cost of all of the cell sites against direct and indirect loss or damage by fire and all other casualties and risks covered under ""all risk"" insurance respecting the tower and other improvements located at the cell site(s).', 'business automobile liability insurance if vehicles will be used in the performance of the agreement with limits of at least $1,000,000 each accident for bodily injury and property damage, extending to all owned, hired, and non-owned vehicles. at&t, its affiliates and their directors, officers and employees shall be included as additional insureds on a primary and non-contributory basis.']",Insurance
"[""the foregoing insurance policies shall name xspa as the insured and calm as additional insured (except for workers' compensation insurance)."", ""in no event shall any insurer have a best's insurance rating of less than (a-) of class size vii."", 'the certificates shall provide that calm will be given at least thirty (30) days prior written notice of cancellation or any material change in these policies.', 'with respect to the foregoing, xspa shall provide to calm certificate(s) evidencing such insurance prior to or upon execution of this agreement.', ""xspa shall obtain, and thereafter maintain during the term, the following insurance: (a) special form property policy covering all stock on premises of the store, including with respect to all product collateral; (b) workers' compensation insurance in the statutorily required amount (or xspa shall participate in the appropriate state fund if such insurance is not available or allowed), together with employer's liability insurance with a limit of $1,000,000 for each accident; and (c) commercial general liability insurance, (including fire liability, contractual liability, personal injury, product liability and completed operations coverage) in the amount of not less than $3,000,000 combined single limit with umbrella liability coverage with a limit of not less than $10,000,000;"", 'if any such insurance is on a ""claims made"" basis, xspa shall maintain coverage thereunder for a period of at least two (2) years following the termination of this agreement.']",Insurance
['the parties hereby acknowledge and agree that any and all rights to know-how developed or shared under this agreement by either party shall be jointly owned by the parties and may be used by either party in the operation of their respective businesses during and following termination of this agreement.'],Joint Ip Ownership
"['skype further agrees that in the event that, prior to such time as the company-skype branded application is updated or upgraded to include the mobile technology, skype or any of its affiliates makes available to skype users a new software product which allows access to services available through the skype software but on or through mobile communication devices (but in any event excluding skype zones), it will license that software product to the company and online bvi on the terms and conditions set forth in this agreement with respect to the skype software and the company-skype branded application customized therefrom, and references to the skype software in this agreement shall be deemed to include such software product.']",Affiliate License-Licensor
"['the benefits of the agreement shall inure to the respective successors and assignees of the parties and assigns and representatives, and the obligations and liabilities assumed in this agreement by the parties hereto shall be binding upon their respective successors and assigns; provided that the rights and obligations of utek under this agreement may not be assigned or delegated without the prior written consent of mkos and any such purported assignment shall be null and void.']",Anti-Assignment
