clause_text,label
"['during the term, except as otherwise provided in this agreement, network affiliate and its affiliates agree not to engage or participate in any business, hold equity interests, directly or indirectly, in another entity, whether currently existing or hereafter created, or participate in any other joint venture that competes or would compete with any business that ncm is authorized to conduct in the territory pursuant to this agreement, whether or not ncm is actually conducting such business in a particular portion of the territory.']",Non-Compete
"['licensee agrees not to do anything inconsistent with such ownership, including (i) filing to register any trademark or service mark containing the brand or (ii) directly or indirectly challenging, contesting or otherwise<omitted>disputing the validity, enforceability or licensor\'s ownership of the brand (and the associated goodwill), including without limitation, in any claim, allegation, action, demand, proceeding or suit (""action"") regarding enforcement of this agreement or involving any third party.']",Covenant Not To Sue
['supplier will use commercially reasonable efforts to deliver product to cutanea with minimum expiry dating remaining of [***]% of the approved shelf-life.'],Minimum Commitment
['each party may also terminate the agreement for convenience after contract year 2<omitted>by providing written notice to the other party at least sixty (60) calendar days prior to the effective date of such termination'],Termination For Convenience
"['in connection with the foregoing appointment, supplier hereby grants reseller a non-transferable, revocable, limited right to resell, market, promote, stimulate interest in, and solicit orders by customers and/or end users in the territory for the products and to provide services in connection with those activities.']",License Grant
"['each party grants, and shall cause its affiliates to grant, to the other party and its affiliates, a royalty-free, non-exclusive, non- transferable, worldwide license, during the term, to use the intellectual property owned by such party or its affiliates (but excluding any trademarks) only to the extent necessary for the other party and its affiliates to provide or receive the services, as applicable.']",Affiliate License-Licensor
"['notwithstanding the provisions of this subsection (d), no remarketing agent shall be required to contribute any amount in excess of the amount by which the total price at which the applicable securities remarketed by it and distributed to the public were offered to the public exceeds the amount of any damages which such remarketing agent has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission.']",Cap On Liability
"['during the term of this agreement, the licensor shall have the right (the ""right of first refusal""), for a period (the ""exercise period"") expiring at 11:59 pm (eastern time) on the fifth (5th) business day after the giving of written notice by the licensee that it has received a bonafide offer from a third party to (ii) purchase all or substantially all of the assets of licensee; or (ii) to engage in a merger or consolidation in which licensee is not the surviving corporation or in which, if licensee is the surviving corporation, the owners of licensee immediately prior to the consummation of such merger or consolidation do not, immediately after consummation of such merger or consolidation, own stock or other securities of licensee that possess a majority of the voting power of all licensee\'s outstanding stock and other securities and the power to elect a majority of the members of licensee\'s board of directors.', 'in the event the licensor declines or fails to exercise in full the right of first refusal before the expiration of the exercise period, the\n\nlicensee shall have the right to consummate the transaction with the third party.']",Rofr/Rofo/Rofn
"[""about shall provide ebix with at least thirty (30) days' prior notice of an audit and such audit shall be conducted at ebix's offices for a maximum period of two business days, during regular business hours, subject to ebix's cooperation."", ""about shall have the right to examine, or to have examined by a representative of about, ebix's books and records to verify the accuracy of payments made to about for a maximum period of last 6 months preceding a written notice of about, pursuant to this agreement.""]",Audit Rights
"['this agreement is not assignable by distributor without prior written consent of tripath, which will not be unreasonably withheld.']",Anti-Assignment
"[""subject to the terms and conditions of this agreement, sponsor hereby grants to excite a royalty-free, non-exclusive, worldwide license to use, reproduce, distribute, transmit and publicly display the content in accordance with this agreement and to sub-license the content to excite's wholly-owned subsidiaries or to joint ventures in which excite participates for the sole purpose of using, reproducing, distributing, transmitting and publicly displaying the content in accordance with this agreement"", 'each party hereby grants to the other a non-exclusive, limited license to use its trademarks, service marks or trade names only as specifically described in this agreement.']",License Grant
"[""vendor will provide at&t, at at&t's request and cost, with paper and electronic copies of documents and information reasonably necessary to verify vendor's compliance with this agreement."", 'the scope of at&t audits shall also include:\n\n(i) practices and procedures used in performing the services;\n\n(ii) systems, communications and information technology used in performing the services;\n\n(iii) general controls and security practices and procedures;\n\n(iv) supporting information and calculations regarding invoices and compliance with service requirements;\n\n(v) quality initiatives and quality assurance; and\n\n(vi) compliance with the terms of this agreement.', ""at&t audits may be conducted once a year (or more frequently if requested by governmental authorities who regulate at&t's business, if required by applicable law or if auditors require follow-up access to complete audit inquiries or if an audit uncovers any problems or deficiencies), upon at least ten (10) business days advance notice (unless otherwise mandated by law) and during business hours. vendor will cooperate, and will ensure that its subcontractors cooperate, in the at&t audits, and will make the information reasonably required to conduct the at&t audits available on a timely basis."", ""at&t's access to the records and other supporting documentation shall include the right to inspect and photocopy vendor's documentation and the documentation of its subcontractors as provided to vendor, and the right to retain copies thereof outside of their physical location with appropriate safeguards, if such retention is deemed reasonably necessary by at&t and only to the extent that all such records are maintained by at&t in accordance with section 3.16 hereof."", ""when the firstnet authority or other governmental authority requests to review vendor's records, at&t and its auditors will review these records first if the firstnet authority or other governmental authority permits such review, and provide the records to the requesting governmental authority; provided, however, the firstnet authority and other governmental authorities retain the right to perform audits independent of at&t."", ""failing those efforts, vendor shall, upon at&t's request and at at&t's expense, conduct the audit or inspection on behalf of at&t, subject to terms agreed to by vendor and at&t for the subcontractor audit, such as areas to be audited, applicable fees, and the timeframe for reporting audit results to at&t"", 'at&t and its auditors (including internal audit staff and external auditors) and governmental authorities shall have the right to review such records (""at&t audits"") held and created by vendor, to verify the following:\n\n(i) the accuracy of vendor\'s invoices and at&t\'s payment obligations hereunder;\n\n(ii) that the work charged for was actually performed;\n\n(iii) that the services have been and are being provided in accordance with this agreement;\n\n(iv) the integrity of vendor\'s systems that process, store, support, maintain, and transmit at&t data;\n\n(v) vendor\'s records relating to the performance of vendor\'s subcontractors with respect to any portion of the services; and\n\n(vi) that vendor and its subcontractors are complying with section 3.6 hereof.', 'subject to subsection (g) below, vendor shall provide and shall require that its subcontractors provide to at&t, its auditors (including internal audit staff and external auditors), and governmental authorities access at all reasonable times to:\n\n(i) any facility at which the services or any portion thereof are being performed;\n\n(ii) systems and assets used to provide the services or any portion thereof;\n\n(iii) vendor employees and subcontractor employees providing the services or any portion thereof; and\n\n(iv) all vendor and subcontractor records, including financial records relating to the invoices and payment obligations and supporting documentation, pertaining to the services.', ""with respect to at&t requests for audits or inspections of vendor's subcontractors, the following applies:\n\n(i) if vendor's agreement with its applicable subcontractor permits an at&t audit, at&t shall be permitted to conduct such audit directly or through a third party representative. vendor shall work with at&t in facilitating the subcontractor's cooperation for an expeditious and thorough audit or inspection.\n\n(ii) if vendor's contract with its applicable subcontractor precludes at&t from directly conducting an audit or inspection, vendor shall use reasonable best efforts to enable at&t to perform an audit of the subcontractor with vendor coordinating the audit process. failing those efforts, vendor shall, upon at&t's request and at at&t's expense, conduct the audit or inspection on behalf of at&t, subject to terms agreed to by vendor and at&t for the subcontractor audit, such as areas to be audited, applicable fees, and the timeframe for reporting audit results to at&t. if at&t's request for a vendor audit or inspection arises from, in at&t's good faith opinion, materially or consistently deficient service provided by the subcontractor under at&t's account, and the audit in both parties' opinions confirms such deficiencies, vendor shall not charge at&t a fee for the vendor's audit of its subcontractor.\n\n(iii) if vendor's contract with its applicable subcontractor does not allow vendor access to the facilities and systems of subcontractor required to conduct the audit described in subsection (b) above, then vendor shall provide a list of such subcontractors and the services being provided by such subcontractor to at&t for its review. to the extent at&t deems it reasonably necessary to require such access, then vendor will renegotiate its contract with the applicable subcontractor in order to obtain the audit rights described in subsection (b) above."", 'prior to location acceptance, vendor shall provide at&t escorted access to the premises wherein all such material is located and, following location acceptance, at&t shall have access to the premises wherein all such material is located pursuant to the terms of the master license agreement and the applicable site license thereunder or any third party tower lease, as applicable.', ""vendor shall provide to at&t (or its third party delegate), upon request and at no charge, its parent company, atn international, inc.'s bona fide and unedited: (a) financial statements for each quarter of each fiscal year during the term of the build addendum and (b) audited fiscal year financial statements for each fiscal year during the term hereof."", ""at&t may inspect and inventory the material furnished by at&t under this agreement during vendor's normal business hours.""]",Audit Rights
"['for claims regarding the quantity or quality of hydrocarbons, these shall be presented in writing at the latest within fifteen (15) calendar days after the date of delivery or withdrawal of the hydrocarbon or the date in which the report for the volumetric compensation for quality is issued.']",Warranty Duration
"[""xencor will allocate adequate appropriately qualified representatives to enable aimmune to practice and understand the xencor know-how, regulatory materials, and regulatory data, including in connection with the transition of manufacturing responsibility to aimmune, xencor's obligations under this section 2.7 shall not exceed an aggregate of [***] ([***]) full- time equivalent hours unless the parties otherwise agree in writing [***].""]",Volume Restriction
"[""notwithstanding any other provision of this agreement, jhu additionally disclaims all obligations and liabilities on the part of jhu and inventors, for damages, including, but not limited to, direct, indirect, special, and consequential damages, attorneys' and experts' fees, and court costs (even if jhu has been advised of the possibility of such damages, fees or costs), arising out of or in connection with the manufacture, use, or sale of the licensed products and licensed services under this agreement.""]",Cap On Liability
"[""mediwound shall make such records and data available for vericel's review on vericel's reasonable request as mutually agreed by the parties."", 'mediwound shall use commercially reasonable efforts to procure the right for vericel to have the same inspection rights described in this section 3.4 at the premises of any such subcontractor, and if unable to procure such rights, shall carry out such audits itself and shall report its non-confidential findings to vericel.', 'vericel shall have the right from time to time during the term of this agreement, but not more than [***] (unless (i) otherwise agreed between the parties or (ii) if section 3.4(b) below applies) during normal business hours and upon not less than [***] prior notice (unless section 3.4(b)(iv) applies), to enter and inspect any facility and any related utilities and/or services used in manufacturing product in order to carry out a cgmp quality and compliance audit of those parts of the facility involved in or which could have any impact on manufacture of such product (including those used for storing, warehousing and/or testing and utilities), including for the purpose of confirming that no types of product which could reasonably be expected to impact the quality of the product are being manufactured on site in deviation of cgmp.', 'in addition to the rights set out in section 3.4(a), where (i) any audit carried out in accordance with this section 3.4 has identified any breach of this agreement, (ii) vericel has a reasonable basis to suspect a breach of this agreement, (iii) any previous audit carried out in accordance with this section 3.4 has identified any major or critical findings, or (iv) if such audit is in response to or following an audit from a regulatory agency, and such audit resulted in a 483 or equivalent citation, then vericel shall have the right to carry out, upon reasonable prior notice and during normal business hours, follow up compliance audit(s).']",Audit Rights
['either party may terminate this agreement for any reason following the initial term upon ninety (90) days written notice to the other party.'],Termination For Convenience
"['the managing group may decide that the assigning party will not remain jointly and severally liable with the assignee for the performance of this agreement for the duration of the agreement provided that the assigning party will give notice to the other parties in a timely manner, and provided that the assignee agrees in writing to be bound by the provisions of this agreement.', 'except in accordance with subparagraph 30.2, no party may assign the whole of its rights under this agreement without the written consent of all the other parties, such consent shall not be unreasonably withheld.', 'no party may assign, sell, transfer or dispose of part or parts of its rights or obligations under this agreement except as otherwise provided for in paragraph 9.']",Anti-Assignment
"['votocast will give licensee at least thirty (30) days prior written notice of any rate changes during any renewal term.', 'votocast expressly reserves the right to change its rates charged hereunder for the services during any renewal term (as detined herein) but agrees that rates may not increase by more than ten percent (10%) during any renewal term.', 'if circumstances require votocast to raise its rates more than ten percent (10%) during any renewal term, votocast will provide licensee cost related supporting documentation to justify the rate increase.']",Price Restrictions
"['each party agrees that during the term of this agreement and for a period of six (6) months thereafter it shall not, without the prior written consent of the other party, either on its own account or through its employees or agents or otherwise or on behalf of any other person, firm, company or other organisation and other than by general advertising, solicit, interfere with, procure or entice away (or, in each case, attempt so to do), either directly or indirectly, any employee or contractor of the other party.']",No-Solicit Of Employees
"['except as otherwise expressly provided under this agreement, customer shall have no right, and customer specifically agrees not to:\n\n(i) transfer, assign or sublicense its license rights to any other person or entity, or use the software on unauthorized or secondhand cisco equipment, and customer acknowledges that any attempted transfer, assignment, sublicense or use shall be void;']",Anti-Assignment
"['subject to the terms and conditions of this agreement, commerce one hereby grants to corio a fee-bearing, perpetual and irrevocable, nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement), right and license in the territory to<omitted>(iv) sublicense an unlimited number of customers to access and use the software and marketsite.net service only through the installation on corio servers;']",Unlimited/All-You-Can-Eat-License
"[""in no event shall, ximage be liable to morpho for any incidental, consequential, special or indirect damages (including without limitation, damages arising from loss of business, data, profits or goodwill) incurred or suffered by morpho in connection with, or arising out of, this agreement or morpho's use of any documentation or software or services provided, or to be provided, hereunder, even if ximage has been apprised of the likelihood of the same. no action, regardless of form, related to transactions occurring under, or contemplated by, this agreement may be brought by either party more than one (1) year after the cause of action has accrued."", ""morpho agrees that ximage's total liability to morpho for any damages suffered in connection with, or arising out of, this agreement or morpho's use of any documentation, product or service provided (or to be provided) hereunder, regardless of whether any such liability is based upon contract, tort or other basis, shall be limited to an amount not to exceed the basic monthly maintenance charges, for a sixty (60) day term under this agreement.""]",Cap On Liability
"['within thirty (30) calendar days of the arrival of each lot of api at the manufacturing facility designated by intersect, intersect shall inspect and test each lot of api at its own cost and expense.']",Audit Rights
"['following the license option exercise closing date, if [***] owned or controlled by a third party in a particular country or jurisdiction is necessary to exploit a licensed compound or licensed product, abbvie shall have the first right, but not the obligation, to negotiate and enter into an agreement with a third party in order to obtain a license or right under such patent or intellectual property right.', 'if abbvie [***] and does not subsequently exercise the license option, then abbvie shall [***].', 'if abbvie provides the license option exercise notice during the license option period, upon abbvie\'s request, the parties shall work together in good faith to conduct an analysis of whether any filings or notifications are or may be required to be filed under the hsr act (the ""hsr filing"") or any similar applicable foreign law or regulation in connection with abbvie\'s exercise of the license option.', 'if harpoon decides not to prepare, file, prosecute, or maintain a harpoon patent or joint patent in a country or other jurisdiction in the territory, harpoon shall provide reasonable prior written notice to abbvie of such intention (which notice shall, in any event, be given no later than [***] prior to the next deadline for any action that may be taken with respect to such harpoon patent or joint patent in such country or other jurisdiction), abbvie shall thereupon have the option, in its sole discretion, to assume the control and direction of the preparation, filing, prosecution, and maintenance of such harpoon patent or joint patent at its expense in such country or other jurisdiction.', ""if abbvie does not provide a license option exercise notice within the license option period, then (a) harpoon shall have no further obligations to perform any initial development activities, (b) abbvie's license option shall expire, and this agreement shall terminate in accordance with section 12.1.1, and (c) abbvie shall have no further rights in connection with licensed compounds of the licensed products."", 'upon the effective date, harpoon hereby grants to abbvie the exclusive right, but not the obligation, to obtain the licenses set forth in section 5.1.3 (the ""license option"").', ""the parties shall each, as soon as practicable after the date of harpoon's receipt of the license option exercise notice, file or cause to be filed with the u.s. federal trade commission and the u.s. department of justice and any relevant foreign governmental authority any such notifications."", 'abbvie shall have the right to exercise its license option by providing written notice of such election to harpoon (""license option exercise notice"") at any time on or after the effective date and on or prior to the date that is [***] from abbvie\'s receipt of the opt-in development report containing all items required pursuant to section 1.112, as such period may be extended pursuant to section 3.2.1 (the ""license option period"").', ""if abbvie notifies harpoon in writing within [***] after receipt of such copy that abbvie wishes to receive a license or sublicense (as applicable) under, and be subject to the rights and obligations of, the proposed future in-licensed rights as they apply to abbvie and this agreement, then the proposed future in-licensed rights shall automatically be included in the harpoon patents and/or harpoon know-how (as applicable) hereunder and abbvie agrees to abide by all applicable terms and conditions of such license, sublicense or other agreement, as it relates to abbvie and this agreement, including payment of any financial obligations based upon abbvie's practice of such intellectual property rights."", 'if abbvie decides not to prepare, file, prosecute, or maintain a product-specific patent or joint patent in a country or other jurisdiction in the territory, abbvie shall provide reasonable prior written notice to harpoon of such intention (which notice shall, in any event, be given no later than [***] prior to the next deadline for any action that may be taken with respect to such product-specific patent or joint patent in such country or other jurisdiction), and harpoon shall thereupon have the option, in its sole discretion, to assume the control and direction of the preparation, filing, prosecution, and maintenance of such product-specific patent or joint patent at its sole cost and expense in such country or other jurisdiction.']",Rofr/Rofo/Rofn
"['garman hereby grants to sparkling, for the use of sparkling and affiliated companies of sparkling operating at authorized locations, a non-transferable and non-exclusive licence to use: (i) the software, safely in executable object code format, at each as400 at each of the authorized locations; and (ii) the documentation.']",Non-Transferable License
"['m&i shall cause a third party review of its data processing center, the operations center, and related internal controls to be conducted annually by its independent auditors.', 'm&i shall provide without charge to customer, upon written request, one copy of the audit report resulting from such review.']",Audit Rights
"['flotek shall have the right at any time to (i) inspect the facility of fcc in winter haven, florida (the ""facility"") and any other facility of fcc involved in the production of the terpene product, and (ii) audit the books and records of fcc', 'any such inspection or audit shall be upon reasonable notice and shall not unreasonably interfere with the operations of fcc.']",Audit Rights
"[""in addition, the parties shall share certain revenues related to purchases made by customers utilizing commerce one's marketsite.net service, as set forth in exhibit b hereto.""]",Revenue/Profit Sharing
"[""except in the event of a violation of section 3 (ownership; grant of rights: trademarks usage), or for each party's obligations under section 11 (indemnity), or breach of section 12 (confidentiality), in no event shall either party's total liability arising out of or related to this agreement exceed the amounts paid by sonos for the products in the [*] period immediately preceding the event giving rise to the liability. this section does not limit either party's liability for personal injury, death, or damage to tangible property."", ""except in the event of a violation of section 3 (ownership; grant of rights: trademarks usage), or for each party's obligations under section 11 (indemnity), or breach of section 12 (confidentiality), under no circumstances will either party be liable to the other under any contract, strict liability, negligence or other legal or equitable theory, for any incidental or consequential damages or lost profits in connection with the subject matter of this agreement.""]",Uncapped Liability
"[""surgical agrees that promptly upon termination of this agreement, surgical shall deliver to imprimis all work product, either completed or uncompleted, and any documents, reports and other materials which are in surgical's possession in connection with the performance of services under this agreement.""]",Post-Termination Services
"[""if dialog is acquired by a third party, dialog's acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this agreement upon written notice to energous."", ""energous will have the right to terminate this agreement immediately upon the issuance of written notice to dialog (a) if dialog undergoes a change of control involving a competitor of energous (as reasonably determined by energous), or (b) if dialog or any of its affiliates acquires, whether directly or indirectly through a sale of assets or a change of control transaction or otherwise, any competitor of energous. dialog will provide energous with notice of any such change of control or acquisition within [***] after the closing thereof and energous' right to terminate the agreement will expire [***] after receipt of such notice."", ""if energous is acquired by a third party, energous' acquirer will have the right, for a period of [***] following closing of such acquisition, to terminate this agreement upon written notice to dialog."", ""dialog will have the right to terminate this agreement immediately upon the issuance of written notice to energous (a) if energous undergoes a change of control involving a competitor of dialog, or (b) if energous acquires, whether directly through a sale of assets or through a change of control transaction, any competitor of dialog (as reasonably determined by dialog). energous will provide dialog with notice of any such change of control or acquisition within [***] after the closing thereof and dialog's right to terminate the agreement will expire [***] after receipt of such notice."", 'notice of merger or acquisition. until the date that this agreement terminates or is terminated in accordance with section 15 hereof, energous agrees that, [***].']",Change Of Control
"[""in addition, verticalnet shall not now or in the future contest the validity of neoforma's intellectual property"", ""in addition, neoforma shall not now or in the future contest the validity of verticalnet's intellectual property.""]",Covenant Not To Sue
"[""either party may terminate this agreement upon 30 days written notice if either party's corporate structure has undergone a material ownership change such that its corporate interests are then in conflict with the corporate interests of the other party;""]",Change Of Control
"['for used lrus and main elements repaired and overhauled by the repairer, the warranty period shall start on the date of delivery and shall end [*****] thereafter, whichever occurs the earliest, and such warranty shall be subject to the exclusions of warranty set forth in exhibit 10 (""lrus repair service"") and in exhibit 11 (""main elements services"").']",Warranty Duration
"['within twenty (20) days after the end of each calendar quarter , gsk shall pay theravance royalty payments based on net sales in such calendar quarter during the term as follows: on total annual worldwide net sales up to and including u.s. $3 billion:\n\n 15 % on total annual worldwide net sales greater than u.s. $3 billion:\n\n 5 % it being understood that net sales of a single agent collaboration product will be combined with net sales of a laba/ics combination product for purposes of the foregoing royalty calculation.', 'the 15% royalty payable on the first u.s. $3 billion of total annual worldwide net sales under this section 6.3 shall be reduced to 10% if all of the following occur: (i) all theravance compounds are discontinued by the collaboration for technical failure; (ii) theravance fails to contribute any theravance new compound to the collaboration within 18 months following the effective date; and (iii) the collaboration product upon which the royalty is payable contains a laba that is one of the gsk initially pooled compounds. nothing in the foregoing shall affect other royalties owed under this agreement.', ""within thirty (30) days after the end of each calendar quarter, gsk shall calculate the actual amount of net sales for the previous calendar quarter and either credit or debit the difference between such actual and projected amount on the succeeding calendar quarter's royalty payment to theravance."", 'if gsk is not selling a laba/ics combination product, then the royalty set forth in section 6.3.1 shall apply to the first other combination product launched by gsk, provided such other combination product does not contain a product in-licensed by gsk; if such other combination product contains a product in-licensed by gsk, then the royalty payable to theravance will be reduced by 50% of any running royalties paid to a third party, provided that in no case will the royalty payable to theravance be less than set forth in this section 6.3.3.', 'the 15% royalty payable on the first u.s. $3 billion of total annual worldwide net sales under this section 6.3 shall be reduced to 12% if all of the following occur: (i) all theravance compounds are discontinued by the collaboration for technical failure; (ii) theravance only contributes one theravance new compound to the collaboration within 18 months following the effective date; and (iii) the collaboration product upon which the royalty is payable contains a laba that is one of the gsk initially pooled compounds.', 'the quarterly royalty payments made under this section 6.3.1 may be based on estimated net sales.', 'for any other collaboration product launched after the laba/ics combination product, gsk shall within twenty (20) days after the end of each calendar quarter, pay theravance royalty payments based on net sales in such calendar quarter during the term as follows:\n\nannual net sales\n\n\n\npercentage royalty\n\n up to u.s.$750 million\n\n 6.5 % additional net sales up to u.s.$1.25 billion\n\n 8.0 % additional net sales up to u.s.$2.25 billion\n\n 9.0 % net sales exceeding u.s.$2.25 billion\n\n 10.0 %']",Revenue/Profit Sharing
"['the remaining parties to this agreement shall assume the obligations, capital, operation, and maintenance interests of the party terminating its participation in proportion to their interests assigned immediately preceding such effective date of termination, except for the continuing rights and obligations of the terminating party as specified in subparagraph 18.7 of this agreement.']",Post-Termination Services
"[""for the services to be rendered and facilities to be provided by the sponsor hereunder, the trust shall pay domini a fee accrued daily and payable monthly at an annual rate equal to 0.50% of the trust's average daily net assets for the trust's then current fiscal year.""]",Revenue/Profit Sharing
"['xc does hereby grant ajr a limited and non-transferable license and non-exclusive right to use xc\'s logo and trademarks and service marks set forth on schedule a attached hereto (the ""licensed materials"") during the term of this agreement.']",Non-Transferable License
"['any changes in the terms of the bona fide offer as well as any subsequent bona fide offer received by affiliate shall require full compliance by affiliate with the procedures in this section.', 'network 1 shall have the exclusive right of first refusal to purchase all or any part of the revenue due affiliate or acquire affiliate (as the case may be) on the same terms and conditions as the bona fide offer.', 'if during the term of this agreement for any renewal of this agreement (the ""right of first refusal period""), affiliate shall receive (i) any bona fide offer to purchase the revenue due affiliate under this agreement or affiliate\'s company through an asset purchase or merger (in which case network 1 shall be subordinate to the checkfree first refusal right), or (ii) a bona fide offer to acquire or merge with or into affiliate (in which case network 1 shall be subordinate to the checkfree first refusal right), affiliate shall immediately give written notice (the ""offer notice"") to network 1 of the terms and conditions of the bona fide offer, including without limitation the price.', 'if network 1 desires to exercise its rights under this section it will give written notice to affiliate within 15 business days of receipt of the offer.']",Rofr/Rofo/Rofn
"[""each licensee party acknowledges, understands, and agrees that it shall not perform, do, or cause any act to be done, or fail to take any action, during or after the term, or assist any third party in performing, doing, and/or causing any act to be done, which would in any way or manner be detrimental to, injure or impair, in any way or to any degree: (a) the licensor party's marks (or any of them); (b) any applications for registration and/or registrations therefor; (c) the goodwill related to the licensor party's marks (or any of them); (d) a licensor party's federal, state and/or common law and other rights in or to the licensor party's marks; (e) a licensor party's right, title, interest, and ownership in and to the licensor party's marks; and/or (f) the validity or enforceability of the any of the foregoing.""]",Covenant Not To Sue
