clause_text,label
"['license term perpetual, unlimited runs x other: 2 years commencing: november 15, 2012', 'producer further grants to convergtv the right and license to distribute the program on any convergtv channel, and/or other distribution outlets, that exists today or that is created or developed in the future and this right includes the right to distribute on any channels of a convergtv affiliate and/or other distribution outlets without limitation.', 'for the license term and within the licensed territory, producer hereby grants to convergtv a right and license to distribute the program, file or video listed on the deal terms above (the ""program"") consisting of<omitted>episodes (series) or<omitted>one-offs, for unlimited runs for the license term through convergtv channels and/or other distribution outlets, in accordance with the license rights.']",Unlimited/All-You-Can-Eat-License
"[""each of the parties may, at its own expense, audit the other party's compliance with this agreement, including but not limited to, auditing the other party's representations and warranties.""]",Audit Rights
"[""subject to licensee's on\xadgoing compliance with section 3.2 and all other terms and conditions of this agreement, licensor grants to licensee an exclusive (save for rights reserved to licensor hereunder), non-transferable (except as provided in section 11.7) and non- sublicensable license, during the license term, to reproduce, perform, display, transmit and distribute the licensed content on the licensee siteand related media intended solely for use by end usersin the territory within the scope set forth in schedule 1 (license scope), which is attached hereto and incorporated herein by this reference.""]",Exclusivity
"[""for purposes of the preceding sentence, and without limiting its generality, any merger, consolidation or reorganization involving licensee (regardless of whether licensee is a surviving or disappearing entity) will be deemed to be a transfer of rights, obligations or performance under this agreement for which licensor's prior written consent is required.""]",Change Of Control
"['any purported assignment, delegation or transfer in violation of this section 11.7 is void from the outset and shall be of no force or effect.', ""licensee shall not assign or otherwise transfer any of its rights, or delegate or otherwise transfer any of its obligations or performance, under this agreement, in each case whether voluntarily, involuntarily, by operation of law or otherwise, without licensor's prior written consent.""]",Anti-Assignment
"['in addition to the license fee payable in accordance with section 5.1, licensee shall pay a royalty (""royalty"") to licensor according to the following schedule (""royalty schedule""): subscribers royalty payable as percentage of gross revenue 0 - 5000 6.25% 5001 - 7500 6.75% 7501 - 10,000 7.00% 10,001 - 15,000 8.00% 15,001 - 20,000 8.50% 20,001 - 25,000 9.25% 25,001+ 9.75%']",Revenue/Profit Sharing
"[""subject to licensee's on\xadgoing compliance with section 3.2 and all other terms and conditions of this agreement, licensor grants to licensee an exclusive (save for rights reserved to licensor hereunder), non-transferable (except as provided in section 11.7) and non- sublicensable license, during the license term, to reproduce, perform, display, transmit and distribute the licensed content on the licensee siteand related media intended solely for use by end usersin the territory within the scope set forth in schedule 1 (license scope), which is attached hereto and incorporated herein by this reference."", ""licensor grants to licensee a limited, non-exclusive, non-transferable (except as provided in section 11.7) and non-sublicensable royalty-free license during the term to those of licensor's marks designated by licensor from time to time to: (i)display such marks on the licensee site: (x) with the licensed content to provide source attribution; or (y) as links to the licensed content; (ii)comply with its express obligations under this agreement; and (iii)advertise, market and promote the availability of the licensed content or the licensee site and identify the licensor as a content provider; provided, that all uses of licensor's marks shall require licensor's prior written approval.""]",License Grant
"[""subject to licensee's on\xadgoing compliance with section 3.2 and all other terms and conditions of this agreement, licensor grants to licensee an exclusive (save for rights reserved to licensor hereunder), non-transferable (except as provided in section 11.7) and non- sublicensable license, during the license term, to reproduce, perform, display, transmit and distribute the licensed content on the licensee siteand related media intended solely for use by end usersin the territory within the scope set forth in schedule 1 (license scope), which is attached hereto and incorporated herein by this reference."", ""licensor grants to licensee a limited, non-exclusive, non-transferable (except as provided in section 11.7) and non-sublicensable royalty-free license during the term to those of licensor's marks designated by licensor from time to time to: (i)display such marks on the licensee site: (x) with the licensed content to provide source attribution; or (y) as links to the licensed content; (ii)comply with its express obligations under this agreement; and (iii)advertise, market and promote the availability of the licensed content or the licensee site and identify the licensor as a content provider; provided, that all uses of licensor's marks shall require licensor's prior written approval.""]",Non-Transferable License
"['licensor will pay the cost of such audits unless an audit reveals a discrepancy in payment or reporting of five percent (5%) or more, in which case the licensee shall reimburse the licensor for the reasonable cost of the audit.', ""licensee shall make such books and records, and appropriate personnel, available during normal business hours for audit by licensor or its authorized representative; provided that licensor shall: (a) provide licensee with reasonable prior notice of any audit; (b) undertake an audit no more than once per calendar year, unless a prior audit has disclosed a balance due; and (c) conduct or cause to be conducted such audit in a manner designed to minimize disruption of licensee's normal business operations.""]",Audit Rights
"[""the provisions of section 9.1 and section 9.2 will not apply to limit the licensee's indemnification obligations under section 8.2, or in the case of licensee's gross negligence or wilful misconduct.""]",Uncapped Liability
"['neither party shall be liable under or in connection with this agreement for indirect, incidental, consequential, liquidated, special or exemplary damages or penalties, including without limitation, losses of business, revenue or anticipated profits, regardless of whether such damage was foreseeable and whether licensor has been advised of the possibility of such damages.', ""each party's liability arising out of or related to this agreement will not exceed an amount equal to the aggregate amounts paid or payable to licensor in the twelve (12) months preceding the commencement of the claim.""]",Cap On Liability
"['should licensee agree to be the vendor for an additional title, licensor and licensee will negotiate in good faith to mutually agree upon the pricing and terms for each additional title in an amendment to this agreement.', 'if, during the term, licensor develops or obtains the rights to license any live action or animated feature-length motion picture (each an ""additional title""), licensor shall give licensee the first right of negotiation for each additional title (i.e., the preferred vendor).', 'licensor will promptly provide written notice to licensee in which licensor lists each additional title.']",Rofr/Rofo/Rofn
"[""except as otherwise specified in the previous sentence, licensee may not sublicense any of its rights under section 2(a) [license grant] without licensor's prior written consent, which shall not be unreasonably withheld or delayed."", ""licensee shall have the right to assign or sublicense any or all of its rights granted under this agreement, in whole or in part, to third parties exhibiting the titles in the ordinary course of licensee's business with prior written notice to licensor and subject to the applicable limitations (if any) in section 2(a)(i) [license grant]"", ""neither party may assign its rights, duties or obligations under this agreement to any third party in whole or in part, without the other party's prior written consent, except that (i) licensee may assign its rights and obligations to this agreement to any of its affiliate or subsidiaries with the prior written consent of the licensor, and (ii) licensor may assign its rights and obligations in this agreement to its affiliates or subsidiaries and either party may assign this agreement in its entirety to any purchaser of all or substantially all of its business or assets pertaining to the line of business to which this agreement relates or to any affiliate of the party without the other party's approval.""]",Anti-Assignment
"['for content listed in schedule a6 of schedule a (each a ""project""), licensor will only grant licensee certain profit participation rights, for certain durations, as detailed and set forth in schedule a6 of schedule a.', 'the consideration for the licenses granted by licensor to licensee under this agreement is the issuance of the ip common shares as defined in the amended and securities purchase agreement, dated as of december 21, 2015, by and among the licensee and the licensor (the ""share consideration"").']",Revenue/Profit Sharing
"['limitations on rights granted: the following distribution methods are permitted: non-theatrical, public video, ship and hotel rights (all not earlier than the us theatrical release); home video rental, home video sell through, and commercial video rights (all not earlier than the us video release); cable tv (pay & free), terrestrial tv (pay & free), satellite pay tv; internet tv (pay & free), residential and non-residential pay-per-view, residential and non-residential internet pay-per-view, vod, near vod, and internet vod (all no earlier than the corresponding exploitation in the usa).', ""copy and dub the titles, and authorize any person to do the foregoing licensee shall also have the right to make (or have made on its behalf) translations of the titles with prior written approval by licensor and subject to the applicable limitations (if any) in section 2(a)(i) [license grant];\n\niii. promote each title in any manner or media, including, without limitation, the right to use and license others to use licensor's name, the title of, trailers created for and excerpts from such title (including but not limited to audio portions only), materials and the name, voice and likeness of and any biographical material concerning all persons appearing in or connected with such title for the purpose of advertising, promoting and/or publicizing such title, licensee and the program service on which the title is exhibited subject to the applicable limitations (if any) in section 2(a)(i) [license grant] ;\n\niv. use the titles for (i) audience and marketing testing, (ii) sponsor/advertiser screening, and (iii) reference and file purposes, subject to the applicable limitations (if any) in section 2(a)(i) [license grant]; and\n\nv. include licensee's name, trademark and logo in the titles to identify licensee as the exhibitor of the titles."", 'in exchange for the share consideration, licensor hereby grants to licensee a non-exclusive, royalty-free, perpetual and non-perpetual license (subject to the duration and scope, and format limitations for which licensor has the rights to each title as specified in schedule a1-a6 of schedule a) to:\n\ni. license, exhibit, distribute, reproduce, transmit, perform, display, and otherwise exploit and make available each title within the territory in any language by vod (including svod, tvod, avod and free vod) for internet, tv and mobile platforms (including, but not limited to, ott streaming services, sites and mobile sites), subject to these limitations for each of the title in schedule a1-a6:\n\n1) for titles listed in schedule a1-a2:\n\nlicensor can only grant licensee distribution rights to up to six (6) msos plus two (2) of china\'s internet tv license holders or their ott internet-based video partners by vod (including svod, tvod, avod and free vod). china\'s current internet tv license holders include: cntv (中国网络电视台/未来电视), bestv (百视通), wasu (华数), southern media cooperation (南方传媒), hunan tv (芒果 tv), china national radio/galaxy internet tv (gitv) (银河电视), and china radio international (中国国际 广播电台);<omitted>2) for titles listed in schedule a3:\n\nfor ""天下女人"": no satellite tv broadcasting rights granted. titles other than ""猜 猜女人心"", ""赏深越慕"" , ""职场新女性挑战行动"", "" 杨澜访谈录"" (自第192期及以后的节 目),""人生相对论 "", "" 天下女人"", and ""正青春"" cannot be edited in any way;\n\n3) for titles listed in schedule a4:\n\nother than the versions (dubbed or translated) in which the titles in schedule a4 already exist in (and were delivered in), no further dubbing, translation, or editing may be performed by any party on schedule a4\'s titles.', 'licensor hereby grants licensee a non-exclusive license to use the logos, trademarks and service marks used by licensor to identify the titles (collectively, ""licensor marks"") in connection with the use of the titles as set forth in this agreement.']",License Grant
"['in exchange for the share consideration, licensor hereby grants to licensee a non-exclusive, royalty-free, perpetual and non-perpetual license (subject to the duration and scope, and format limitations for which licensor has the rights to each title as specified in schedule a1-a6 of schedule a) to:\n\ni. license, exhibit, distribute, reproduce, transmit, perform, display, and otherwise exploit and make available each title within the territory in any language by vod (including svod, tvod, avod and free vod) for internet, tv and mobile platforms (including, but not limited to, ott streaming services, sites and mobile sites), subject to these limitations for each of the title in schedule a1-a6:\n\n1) for titles listed in schedule a1-a2:\n\nlicensor can only grant licensee distribution rights to up to six (6) msos plus two (2) of china\'s internet tv license holders or their ott internet-based video partners by vod (including svod, tvod, avod and free vod). china\'s current internet tv license holders include: cntv (中国网络电视台/未来电视), bestv (百视通), wasu (华数), southern media cooperation (南方传媒), hunan tv (芒果 tv), china national radio/galaxy internet tv (gitv) (银河电视), and china radio international (中国国际 广播电台);<omitted>2) for titles listed in schedule a3:\n\nfor ""天下女人"": no satellite tv broadcasting rights granted. titles other than ""猜 猜女人心"", ""赏深越慕"" , ""职场新女性挑战行动"", "" 杨澜访谈录"" (自第192期及以后的节 目),""人生相对论 "", "" 天下女人"", and ""正青春"" cannot be edited in any way;\n\n3) for titles listed in schedule a4:\n\nother than the versions (dubbed or translated) in which the titles in schedule a4 already exist in (and were delivered in), no further dubbing, translation, or editing may be performed by any party on schedule a4\'s titles.\n\n4) for titles listed in schedule a5 (except ""summer in february""):\n\nlimitations on rights granted: the following distribution methods are permitted: non-theatrical, public video, ship and hotel rights (all not earlier than the us theatrical release); home video rental, home video sell through, and commercial video rights (all not earlier than the us video release); cable tv (pay & free), terrestrial tv (pay & free), satellite pay tv; internet tv (pay & free), residential and non-residential pay-per-view, residential and non-residential internet pay-per-view, vod, near vod, and internet vod (all no earlier than the corresponding exploitation in the usa).', 'sections 2(a) [license grant], 2(b) [sublicensing], 2(c) [display of titles], 2(d) [removal of titles], 3, and 11 shall survive the expiration or termination of this agreement: (i) in perpetuity with respect to titles for which the licenses granted in section 2(a) [license grant] are perpetual; and (ii) for the duration of the applicable license term specified in schedule a with respect to titles for which the license term specified in schedule a extends beyond the expiration or termination of this agreement.']",Irrevocable Or Perpetual License
"['until one (1) year after the expiration of the profit participation of each project, the books and records will be available for inspection by a certified accounting firm or cpa once per year upon reasonable advance notice.']",Audit Rights
"['except for the above indemnification obligations and for breaches of section 14, neither party shall be liable to the other for any incidental, consequential, special or punitive damages arising out of this agreement (including, but not limited to, loss of profits), whether in an action or arising out of breach of contract, tort or any other cause of action even if such party has been advised of the possibility of such damages.']",Uncapped Liability
"['except for the above indemnification obligations and for breaches of section 14, neither party shall be liable to the other for any incidental, consequential, special or punitive damages arising out of this agreement (including, but not limited to, loss of profits), whether in an action or arising out of breach of contract, tort or any other cause of action even if such party has been advised of the possibility of such damages.']",Cap On Liability
"['the term of this agreement shall be effective as of the date first stated above and shall continue for a term of three (3) years, unless terminated earlier in accordance with the provisions of this agreement (the ""term""); provided, however, that primecall may elect to terminate this agreement, upon thirty (30) days\' written notice, at any time from and after the time that collectively rsl communications, ltd. and/or its affiliates holds less than fifty percent (50%) of the voting control of deltathree\'s outstanding shares.']",Change Of Control
"['except as provided in the preceding sentence, this agreement may not be assigned by primecall without the prior written consent of deltathree.', 'this agreement may not be assigned by deltathree without the prior written consent of primecall.']",Anti-Assignment
"[""throughout the term of this agreement, the parties hereby agree to grant to each other a limited license to use each other's proprietary marks solely in connection with the sale, distribution, marketing and promotion of each party's calling cards by the other party.""]",License Grant
"[""the liability of deltathree for damages or alleged damages hereunder, whether in contract, tort or any other legal theory, is limited to, and will not exceed, primecall's direct damages."", ""the liability of primecall for damages or alleged damages hereunder, whether in contract, tort or any other legal theory, is limited to, and will not exceed, deltathree's direct damages."", 'in no event shall primecall be liable to deltathree for any special, incidential or consequential damages, including, without limitation, loss of profits, revenues or data whether based on breach of contract, tort or otherwise, whether or not deltathree has been advised of the possibility of such damage.', 'in no event shall deltathree be liable to primecall for any special, incidential or consequential damages, including, without limitation, loss of profits, revenues or data whether based on breach of contract, tort or otherwise, whether or not primecall has been advised of the possibility of such damage.']",Cap On Liability
"['notwithstanding the foregoing, women.com shall be entitled to (aa) provide mini and micro web sites and women.com promotions and sponsorships to jenny craig; (bb) sell, display, or distribute advertisements, including banner advertisements, newsletter placements, internet radio, commerce placements and market research, or otherwise promote competitive companies on pages other than the gateway page of the diet center.']",Competitive Restriction Exception
"['during the term, (a) women.com will not buy, sell, display, distribute advertising from (including, but not limited to, banner ads, buttons, badges, text links, hyperlinks or editorial mentions) or otherwise promote a competitive company on any page of the diet center;<omitted>(c) women.com will not enter into a relationship with a competitive company that involves any of the following; (i) custom developed mini or micro web sites; (ii) content integration; (iii) discounts offered only to women.com members on the member central page of the women.com sites; (iv) editorial endorsement (such as<omitted>""brought to you by...."") or fixed placement of 468x60 (top) and 125x365 (side) banners within eight (8) of the content features selected by ediets; and (v) anchor sponsorship in any multi-sponsor women.com promotion.']",Non-Compete
"['during the term, ediets will not buy, sell, display or distribute advertising from (including, but not limited to, banner ads, buttons, badges, text links, hyperlinks or editorial mentions) or otherwise promote any women.com compettive company on any page of the ediets site that is within two clicks from the gateway page of the diet center.', 'for purposes of this agreement, ""competitive company"" means any company that ediets reasonably presents as, and women.com reasonably agrees is, a direct competitor to ediets by distributing on-line content principally relating to diets and diet counseling, including, but not limited to, weight watchers, jenny craig, nutrisystem, nutrio, asimba, dietsmart and umagic.', 'for purposes of this agreement, ""women.com competitive company"" means any company that women.com reasonably presents as, and ediets reasonably agrees is, a direct competitor to women.com by providing an on-line portal for women, including, but not limited to, oxygen media and ivillage,', 'notwithstanding the foregoing, women.com shall be entitled to (aa) provide mini and micro web sites and women.com promotions and sponsorships to jenny craig; (bb) sell, display, or distribute advertisements, including banner advertisements, newsletter placements, internet radio, commerce placements and market research, or otherwise promote competitive companies on pages other than the gateway page of the diet center.', 'during the term,<omitted>(b) ediets will be the exclusive third party provider of content and interactive tools for diets and diet counseling to women.com within the diet center;']",Exclusivity
"['ediets shall have fifteen (15) days from the giving of such notice to agree to participate in the applicable diet promo upon the terms and conditions specified in the notice by giving written notice of its agreement to women.com.', 'during the term, women.com agrees to give ediets the right of first refusal to participate in all diet and diet-counseling related promotion opportunities created or otherwise made available by women.com on channels or sub-channels created after the effective date of this agreement, including sponsorships, anchor placements and any other content integration opportunities (""diet promos"").', 'ediets.com will have the first right to substitute any of the following content features for any of the eight (8) content features selected above once inventory on such features becomes available.', 'if women.com proposes to create and make available diet promos after the effective date, it shall give ediets written notice of its intention, describing the terms and conditions of participation in the diet promos.']",Rofr/Rofo/Rofn
"['for purposes of this agreement, ""change in control"" means a merger or consolidation of the party with, or any sale of all or substantially all of the assets of such party to, any other person, corporation or entity, unless as a result of such merger, consolidation or sale of assets the holders of such party\'s voting securities prior thereto hold at least fifty percent (50%) of the total voting power represented by the voting securities of the surviving or successor corporation after such transaction.']",Change Of Control
"['any attempt to assign this agreement other than as permitted above will be null and void.', ""neither party may assign this agreement, in whole or in part, without the other party's written consent (which will not be unreasonably delayed or withheld), except that no such consent will be required in connection with an assignment or transfer of this agreement to (a) a party's successor in connection with a change in control of such party, provided that such successor is not a competitor of the other party, or (b) to any entity that is<omitted>controlled by, under common control with, or controls a party.""]",Anti-Assignment
"['following the initial term, women.com shall have the right, upon no fewer than sixty (60) days prior written notice to ediets, to increase the amount of the payment schedule; provided, that (i) women.com may not increase the payment schedule more than once in any period of twelve (12) consecutive months; and (ii) such increase may not exceed twenty percent (20%) of the then current payment schedule.']",Price Restrictions
"['if women.com does not deliver the shortfall within sixty (60) days of the end of the applicable quarter, ediets may terminate this agreement in its entirety immediately or authorize women.com to deliver the shortfall within an extended number of days to be mutually agreed upon by the parties (the ""make good period"").', 'notwithstanding the foregoing, women.com does guarantee a minimum of 13,000,000 impressions promoting ediets per year on the diet center.', 'if women.com does not deliver at least 80% of the quarterly impression guarantee for advertsing promotions as set forth on exhibit b (11,250,000 per quarter; 45,000,000 per year); 80% of the quarterly impression guarantee for the diet center logo as set forth on exhibit b (3,250,000 per quarter; 13,000,000 per year); and 80% of the quarterly impression guarantee for other campaigns as set forth on exhibit b (3,000,000 per quarter; 12,000,000 per year) each quarter following the launch date, within sixty (60) days of the end of the applicable quarter, women.com shall deliver an amount equal to the under-delivery within the same campaign elements, including newsletters, promotions, exclusive sponsorships, targeted rotations, ros, channel and sub-channel center logo placements, or mutually agreed upon comparable elements.', ""during the term, ediets.com will be guaranteed 12 million circulation per year from and after the effective date via newsletters, including but not limited to: >> fashion & beauty newsletter: 300,000 subscribers per month >> food news: 180,000 subscribers per month >> prevention: 1,600,000 subscribers per month >> internet scopes: 2,400,000 subscribers per month >> sex & romance: 120,000 subscribers per month >> what's new: 1,100,000 subscribers per month >> women.com member newsletter: 1,700,000 subscribers per month\n\nguaranteed circulation per year: 12,000,000""]",Minimum Commitment
"[""women.com hereby grants ediets a non-exclusive, non-transferable, royalty-free worldwide right and license without the right to sublicense to use the women.com marks during the term solely in connection with (i) the fulfillment of ediets' obligations under this agreement, and (ii) in advertising and marketing collateral related to this agreement."", 'ediets hereby grants to women.com, subject to the terms and conditions of this agreement, a non-exclusive, nontransferable, worldwide, royalty-free license to use, copy, reproduce and display the editorial content and other data, branding and other identification provided by ediets to women.com in connection with this agreement (the ""ediets content"") on the women.com sites: (i) for publication in the diet center and elsewhere throughout the women.com sites; (ii) for the promotion of ediets and the diet center on the women.com sites and in collateral advertising materials; and (iii) for such other purposes as are consistent with or otherwise authorized under this agreement.', ""ediets hereby grants women.com a non-exclusive, non-transferable, royalty-free worldwide right and license without the right to sublicense to use the ediets marks during the term solely in connection with (i) the fulfillment of women.com's obligations under this agreement, and (ii) in advertising and marketing collateral related to this agreement.""]",License Grant
"[""women.com hereby grants ediets a non-exclusive, non-transferable, royalty-free worldwide right and license without the right to sublicense to use the women.com marks during the term solely in connection with (i) the fulfillment of ediets' obligations under this agreement, and (ii) in advertising and marketing collateral related to this agreement"", 'ediets hereby grants to women.com, subject to the terms and conditions of this agreement, a non-exclusive, nontransferable, worldwide, royalty-free license to use, copy, reproduce and display the editorial content and other data, branding and other identification provided by ediets to women.com in connection with this agreement (the ""ediets content"") on the women.com sites: (i) for publication in the diet center and elsewhere throughout the women.com sites; (ii) for the promotion of ediets and the diet center on the women.com sites and in collateral advertising materials; and (iii) for such other purposes as are consistent with or otherwise authorized under this agreement.', ""ediets hereby grants women.com a non-exclusive, non-transferable, royalty-free worldwide right and license without the right to sublicense to use the ediets marks during the term solely in connection with (i) the fulfillment of women.com's obligations under this agreement, and (ii) in advertising and marketing collateral related to this agreement.""]",Non-Transferable License
