clause_text,true_label,hybrid_label,used_model,bert_confidence,bert_margin,priority_score,human_corrected_label
"['in addition to the products, calm shall have the right to identify up to five (5) additional products, with such products and the price thereof to be mutually agreed by the parties, to be displayed, marketed, promoted, offered for sale and sold in the stores in the territory.', 'calm shall have the right, but not the obligation, to hire personnel of its choosing to be present in any store(s) to assist in the display, marketing, promotion, offer for sale and sale of products, provided, however, that no more than one such person shall be present at any one time in any store without the prior written consent of xspa.']",Volume Restriction,Rofr/Rofo/Rofn,SVM,0.1688,0.058,4.0,
"[""subject to the terms and conditions of this agreement, commerce one hereby grants to corio a fee-bearing, perpetual and irrevocable, nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement), right and license in the territory to (i) reproduce the software in machine executable object code format only for installation on the corio servers; (ii) install multiple copies of the software on corio's servers which will be made remotely accessible to corio's customers for their subsequent use, (iii) permit limited access to and use of the software and marketsite.net service by customers through corio servers; (iv) sublicense an unlimited number of customers to access and use the software and marketsite.net service only through the installation on corio servers; and (v) use commerce one's tools and utilities, subject to any restrictions placed on the commerce one by third party software providers, to modify and manage the software."", ""upon the release of the source code to corio pursuant to section 12.2 of this agreement, corio shall have a royalty-free, nonexclusive, nontransferable, right and license in the territory to use and modify the source code to support and maintain the software until the expiration or termination of corio's customers' end user license agreements."", ""during the term of this agreement, each party authorizes the other party to display and use the other's trademarks, trade names and logos (collectively, the trademarks) in connection with that party's sale, advertisement, service and promotion of the corio services or the software and marketsite.net service."", 'subject to the terms and conditions of this agreement, commerce one hereby grants to corio a nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement), right and license in the territory to sell and distribute such software licenses to customers pursuant to this section 2.4.', ""subject to the terms and conditions of this agreement, commerce one grants to corio a nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement), royalty-free, fully paid up, perpetual right and license in the territory to reproduce, install and use additional copies of the software and software tools and utilities, subject to any restrictions placed on the commerce one by third party software providers, in machine executable object code for (i) corio's internal business operations and (ii) production, testing, development, upgrade, reporting and training."", 'subject to the terms and conditions of this agreement, commerce one hereby grants to corio a nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement) royalty-free, fully paid up right and license in the territory, on corio servers, to make a reasonable number of copies of the demonstration software solely for demonstration purposes to potential customer']",License Grant,Non-Transferable License,SVM,0.3081,0.1351,4.0,
"['thi is granted the following rights to the applications in appendix a and the licensed products derived therefrom:', 'licenses granted herein are solely for products in the form sold by the licensee and are not to be construed either (i) as consent by the marv to any act which may be performed by the licensee, except to the extent impacted by a patent licensed herein to the licensee, or (ii) to include licenses to contributorily infringe or induce infringement under u.s. law or a foreign equivalent thereof.', 'the licenses granted herein are exclusive worldwide licenses to: 1. make, have made, use, lease, sell and import licensed products for the legal purposes of researching, developing, manufacturing, assembling, distributing, and selling the licensed products; 2. make, have made, use and import machines, tools, materials and other instrumentalities, insofar as such machines, tools, materials and other instrumentalities are involved in or incidental to the research, development, manufacture, testing or repair of licensed products which are or have been made, used, leased, owned, sold or imported by the licensee; and 3. convey to any customer of the licensee, with respect to any licensed product which is sold or leased to such customer, rights to use and resell such licensed product as sold or leased by licensee (whether or not as part of a larger combination); provided, however, that no rights may be conveyed to customers with respect to any invention which is directed to (i) a combination of such licensed product (as sold or leased) with any other product, (ii) a method or process which is other than the inherent use of such licensed product itself (as sold or leased), or (iii) a method or process involving the use of a licensed product to manufacture (including associated testing) any other product.', ""the grant of each license hereunder includes the right to grant sublicenses to related companies for so long as it remains a related companies. any such sublicense may be made effective retroactively, but not prior to the effective date hereof, nor prior to the sublicensee's becoming a related company.""]",License Grant,Exclusivity,SVM,0.3435,0.1868,4.0,
"['papa john\'s hereby grants to abg and celebrity, a royalty-free, perpetual, irrevocable, fully- paid, assignable, transferable, sublicensable right and license to utilize the materials, in their entirety or any portions thereof, in all media now known or hereafter developed, throughout the universe (individually and collectively, ""pj rights"") as follows: (i) on or in connection the performance of the services hereunder; (ii) in connection with historical and archival purposes (e.g., documentary, commentary, corporate retrospective, historical files on websites of abg), so-called business-to-business uses and other non-commercial purposes; and (iii) for industry recognition purposes (e.g., award competition submissions); in each case, in all media now known or hereafter devised.', ""in consideration of the remuneration to be paid to abg pursuant hereto and subject to the conditions and limitations contained herein, abg grants to papa john's the non-transferrable, non-assignable, non-sublicensable, indivisible right and license solely during the term of the agreement and within the territory to use the celebrity endorsement, in each instance, subject to abg's approval (as hereinafter defined).""]",License Grant,Irrevocable Or Perpetual License,SVM,0.2907,0.0799,4.0,
"['based on the foregoing, and subject to the terms and conditions contained in this agreement, the agents severally and not jointly agree to act as, and the corporation appoints the agents as, the exclusive agents of the corporation to offer the offered shares for sale on the closing date (as defined herein) in the selling jurisdictions (as defined herein) on a private placement basis at the offering price.']",Exclusivity,Revenue/Profit Sharing,SVM,0.2367,0.1583,4.0,
"['in the event that licensor grants to another vod or pay-per-view (""ppv"") service provider in the u.s. or the territory the right to distribute or exhibit any licensed program on an earlier availability date, then licensor shall also grant to rogers the right to distribute and exhibit such licensed program on such earlier availability date, on the terms provided herein.', 'if licensor enters, or has entered, into an agreement or series of agreements (including side letters, understandings or arrangements, whether oral or written, whether formal or informal, whether now or hereafter effective, or whether on a long-term basis or short-term basis) with a third party for the distribution and exhibition of licensed programs in the u.s. or the territory on a vod basis, or any other basis that permits the downloading of such licensed programs and the subsequent viewing of such licensed programs by a residential subscriber, on terms (including, without limitation, license fees, copyright royalty payments, encoding fees and obligations, and marketing support) that are more favourable than those contained in this agreement, then rogers has the right to incorporate, or substitute, as the case may be, such term or terms into this agreement, effective as of the date on which such term or terms were accorded to the third party and for the balance of the period such term or terms are applicable to such third party.', 'licensor shall provide to rogers, no later than february 28 in each year, a sworn statement of a senior officer of licensor, or a certificate of the auditors of licensor, confirming that, during the immediately preceding calendar year, licensor did not enter into such an agreement or series of agreements or, if it did enter into such agreement(s), confirming the effective date thereof and identifying the terms contained therein that are more favourable than those contained in this agreement.']",Most Favored Nation,License Grant,SVM,0.2358,0.045,4.0,
"[""[***], valeant hereby grants to dova a fully paid-up, royalty free, non-transferable, non- exclusive license (with a limited right to sub-license to its affiliates) to any valeant property that appears on, embodied on or contained in the product materials or product labeling solely for use in connection with dova's promotion or other commercialization of the product in the territory."", ""except to affiliates of valeant, valeant's rights and obligations under this section 2.1 are non-transferable, non-assignable, and non-delegable.""]",Non-Transferable License,Affiliate License-Licensee,SVM,0.2963,0.0042,4.0,
"['except as the parties may otherwise agree in writing, converge, to the extent it has the legal right to do so, hereby grants to vert an irrevocable, perpetual, world-wide, non-exclusive right and license to use, load, store, transmit, execute, copy, market, distribute, in any medium or distribution technology whatsoever, known or unknown, display, perform and sublicense the converge-independent materials and the third-party materials, in both source code and object code formats, and to make unlimited\n\n\n\n\n\ninstantiations thereof, for any and all purposes.']",License Grant,Irrevocable Or Perpetual License,SVM,0.3418,0.1596,4.0,
"['for the avoidance of doubt, the parties acknowledge that the foregoing restriction applies only to persistent sponsorship placement as judged by sponsor at its discretion, and not to run-of-site banner advertisements or other rotating promotional placements.']",Competitive Restriction Exception,Exclusivity,SVM,0.1417,0.0137,4.0,
"['in exchange for company\'s contributions and obligations under this agreement, reed\'s grants company the exclusive right to manufacture, package, promote, sell and distribute the products (if and to the extent approved by the development committee), subject to the terms and conditions of a separate manufacturing and distribution agreement to be entered into by the parties concurrently with this agreement, as it may be amended, modified, supplemented or restated from time to time (the ""manufacturing and distribution agreement"").']",Exclusivity,License Grant,SVM,0.2838,0.086,4.0,
"['client hereby grants to efs a limited and perpetual right and license to use such photographs and materials for research and forecasting purposes, including, but not limited to, combining the same with reports and analytics concerning the performance of the websites, providing information to strategic partners to better define consumer purchasing habits, and for trend forecasting and planning purposes.', 'during the term and subject to the terms, conditions and limitations of this agreement, client hereby grants efs, a limited, non-transferable, non-assignable (without any right to sublicense) world-wide license to use the internet location or resource designators (urls, domain names, etc.) set forth in part b of exhibit 1 hereto, and/or to the extent approved in advance in writing by client, as the case may be, modifications thereof (the ""licensed domain names""), as the domain name(s) and internet locators/designators for the websites during the term.', 'during the term and subject to the terms, conditions, and limitations set forth in this agreement, client grants efs a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license to use the client trademarks and/or service marks as set forth on part a of exhibit 1 (the ""playboy marks"") solely in connection with the design, publication, distribution, operation and promotion of the playboy commerce business.', 'client holds certain customer data relating to the playboy commerce business (""existing customer data"") and hereby grants to efs a non-exclusive, limited, non-sublicensable, non-transferable, revocable license to store and use such existing customer data solely for purposes of the operation and promotion of the playboy commerce<omitted>business.', 'all such photographs shall be deemed playboy content for purposes of this agreement, for which efs shall have a license to use during the term solely in connection with the playboy commerce business and as is necessary to promote the websites.', 'during the term and subject to the terms, conditions, and limitations set forth in this agreement, client grants efs a limited, non-exclusive, non-transferable, non-assignable (without any right to sublicense), world-wide license to use, modify, create derivative works of, publish, reproduce, broadcast, exhibit and display the playboy content solely in connection with the design, publication, distribution, operation and promotion of the playboy commerce business.', 'all derivative works are hereby licensed back to efs subject to the limitations that are applicable hereunder to the playboy content.']",License Grant,Non-Transferable License,SVM,0.3332,0.0694,4.0,
"['during the term (including any renewal term, if any), in the event that musclepharm shall determine to develop and introduce a new product into the market, musclepharm shall provide the as parties with a sample of the name, design, marketing plan and an actual sample of such new product (the ""sample"") and the as parties shall have a right of first refusal (exercisable by written notice to musclepharm within 15 days after receipt of the sample) to include such new product in the as product line, it being understood that there shall initially be no less than four (4) products at the start of the term and thereafter no more than 8 (eight) products in the as product line without the mutual written agreement of the parties hereto.']",Rofr/Rofo/Rofn,Volume Restriction,SVM,0.2614,0.1459,4.0,
"['subject to section 3.2, a licensor party, on behalf of itself and the other members of the licensor group, and solely to the extent the licensor party or another member of the licensor group has the right to do so, hereby grants and agrees to grant to the applicable licensee party and the other members of the licensee group, subject to the field restriction of section 3.1.2, a royalty-free, nonexclusive, perpetual, irrevocable, fully paid-up, worldwide right and license, with the right to sublicense as provided in section 3.1.3, to exploit intellectual property rights that are owned by the licensor party or another member of the licensor group immediately following the assignments pursuant to article ii and meet one or more of the following descriptions with respect to the relevant licensee party: (a) the intellectual property rights are rights under licensed patents or other intellectual property rights that, in each case, as of the effective time, are either (a) used in connection with, or necessary for the ongoing conduct of, the current business of the licensee party or another member of the licensee group, or (b) contemplated to be used in the business of the licensee party, or another member of the licensee group, in the licensee group field; provided, however, that the license granted in this section 3.1.1(a) does not apply to the intellectual property rights received under or otherwise governed by an excluded agreement; and/or (b) the intellectual property rights are embodied in an invention, or proposed invention, that is both (i) described in a patent or invention disclosure held by the licensor party or another member of the licensor group and (ii) conceived by at least one inventor who, at the time of conception, was employed by a member of the licensee group, a non-inclusive list of which inventions and proposed inventions are provided in schedule 3.1.1(b), provided, however, that the license granted in this section 3.1.1(b) does not apply to an invention conceived under or otherwise governed by an excluded agreement; and/or (c) the intellectual property rights are subject to an assignment to the licensor party in section 2.1.1(b) concerning performer foreground-delivered ipr conceived or created in the course of services concerning which the licensor party or another member of the licensor group was the requester and the licensee party or another member of the licensee group was the performer; and/or<omitted>(d) the intellectual property rights are performer background ipr or patent rights of the licensor party or another member of the licensor group and is necessary for the licensee party or another member of the licensee party to exploit the performer foreground-delivered ipr in the licensee group field, provided, however, that the license granted in this section 3.1.1(d) applies only to the extent necessary for the licensee party or another member of the licensee group to exploit the performer foreground-delivered ipr in the licensee group field.']",Irrevocable Or Perpetual License,Affiliate License-Licensee,SVM,0.3021,0.1703,4.0,
"['you will take such action as may be necessary to cancel or assign to us or our designee, at our option, any assumed name rights or equivalent registration filed with state, city, or county authorities which contains the name ""buffalo wild wings,"" ""bw-3"" or any mark, and you will furnish us with evidence satisfactory to us of compliance with this obligation within thirty (30) days after termination or expiration of this agreement.', 'all modifications and enhancements made to the approved information system shall be our property (or the appropriate vendor if we so designate), without regard to the source of the modification or enhancement. you agree to execute any documents, in the form provided by us, that we determine are necessary to reflect such ownership.', 'any developments and improvements by you relating to the marks or the system shall be our sole property.']",Ip Ownership Assignment,Post-Termination Services,SVM,0.3943,0.1836,4.0,
"['as used in this agreement:<omitted>4.2.2 the term ""commission"" will mean the total fees paid in cash to us, by insurance carriers as a percentage of the premiums generated by insurance policies sold by the franchised business, on all new and renewal policies.', 'we will receive all commissions (defined below) from insurance carriers.']",Revenue/Profit Sharing,Insurance,SVM,0.3261,0.1147,4.0,
"['at least eight (8) ""service days"", including but not limited to:\n\n1. production days. up to four (4) production days (defined as a maximum of eight (8) consecutive hours each), with papa john\'s creative agency.\n\n2. personal appearances. celebrity shall appear at least (each of the following not to exceed six (6) consecutive hours):\n\n(a) one (1) day engaging with franchisees and team members at company-wide event(s);\n\n(b) one (1) day visiting papa john\'s pizza stores, date and locations to be mutually agreed upon by the parties; and\n\n(c) one (1) day at a community event, date and location to be mutually agreed upon by the parties.']",Minimum Commitment,Volume Restriction,SVM,0.2809,0.0717,4.0,
"['in consideration for such training, trade secrets and confidential information, you and your principals agree that during the term of this agreement, and for a continuous uninterrupted period commencing upon expiration or termination of this agreement, regardless of the cause for termination, and continuing for a period of three (3) years thereafter, neither you nor your principals shall, directly or indirectly, for themselves, or through, on behalf of, or in conjunction with any person, persons, partnership, limited liability company or corporation: 7.1.1 divert or attempt to divert any business or customer of the franchised business or any unit franchisee anywhere, by direct or indirect inducement or otherwise, or do or perform, directly or indirectly, any other act injurious or prejudicial to the goodwill associated with our proprietary marks or the system.']",Non-Disparagement,No-Solicit Of Customers,SVM,0.155,0.029,4.0,
"[""each station will provide network with up to 5.0 mbps, but, at all times, not less than 2.0 mbps, for this purpose, except as required in infrequent and exceptional circumstances resulting from a station's carriage of the primary television network with which such station is affiliated with regard to its primary feed (e.g., abc, cbs, nbc and fox)"", 'affiliate shall actively promote the service consistent with its business judgment, including the broadcast by each station transmitting the service of an average of at least ten (10) thirty (30)-second promotional announcements per week for the service (""promotional spots"") on the station\'s primary feed, including the station\'s analog signal for so long as the station broadcasts an analog signal, on a run-of- station basis, commencing no later than the first air date of the service on the applicable station.']",Minimum Commitment,Volume Restriction,SVM,0.2543,0.0566,4.0,
"['hci shall not either directly or indirectly license or deliver content to or carry on or be engaged with any other canadian portal web site, being a web site which aggregates and markets a variety of content directed to multiple communities of interest and which offers products,\n\nsource: healthcentral com, s-1/a, 11/8/1999\n\n\n\n\n\ntools and services to a broad base of canadian end users.', 'during the term of the agreement, and subject to the following requirements respecting canadian content levels as set out in paragraphs 3(f), (g) and (h), hci shall be the exclusive health content partner in the health section of the sympatico web site, provided however, that nothing contained herein shall prevent medialinx from entering into an agreement with other parties for: i) a health based web directory; or ii) other health related content whose content does not compete with the content contained on the co-branded site; which in no event shall receive no more than one fifth (1/5th) of the promotion and which shall constitute no more than one fifth (1/5th) of the total health related content which resides on the home page of the sympatico health section.', 'if, at any time during the term of this agreement, hci fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), hci shall no longer be entitled to be the exclusive health content partner in the health section of the sympatico web site.']",Exclusivity,Competitive Restriction Exception,SVM,0.3013,0.1362,4.0,
"['solely in the event that dova has terminated this agreement pursuant to section 12.3.1 and notwithstanding anything else herein, in consideration of the promotion services performed by valeant during the term, with respect to the tail period, dova shall make payments to valeant in an amount equal to [***] of the amounts that would have been payable by dova to valeant with respect to such tail period pursuant to section 6.1 had the agreement not been so terminated.']",Liquidated Damages,Post-Termination Services,SVM,0.1944,0.0497,4.0,
"[""endorser also grants to musclepharm and consents to musclepharm's editorial use world-wide of endorser's name and appearance in musclepharm published materials approved by endorser. for purposes of this agreement, musclepharm's editorial use of endorser's name and appearance shall mean a use that does not directly promote, advertise or endorse musclepharm's business, its products or licensed products. nothing in this section 6(c) shall entitle musclepharm to reduce endorser's compensation pursuant to section 7 and section 8 of this agreement (including, without limitation, with respect to any renewal term, if any)."", ""endorser agrees that during the term musclepharm shall have the right to use, worldwide, endorser's name and appearance rights (as specified in section 6) to advertise musclepharm and its products and licensed products in print media, and in all other forms of media (other than telephone marketing or texting campaigns) including, but not limited to, point of sale material, premiums and novelties, direct marketing material, and radio, television, electronic, and computer media (including but not limited to musclepharm's internet and social media websites). print media will also include promotional items on which endorser's approved picture; approved likeness, or facsimile signature may appear. endorser will have the right to approve, in writing via his representative's office, all advertising materials which utilize endorser's name and appearance rights, but endorser will not unreasonably withhold approval and will promptly respond to all approval requests."", 'during the term, musclepharm shall have the right to create and distribute the promotional products world- wide.', ""musclepharm shall have the rights to use endorser's name and appearance rights and the right to publicize endorser's name and appearance, as provided in this agreement, unless endorser and musclepharm enter into a separate written agreement in which musclepharm waives or releases some or all of the rights endorser has granted in this agreement."", 'endorser also agrees to the use on a world-wide basis (as specified pursuant to section 6 below and subject to the terms and conditions of this agreement), during the term, of his name and appearance rights to advertise and promote the business of musclepharm, its products, and the licensed products.', ""during the term of this agreement, the as parties grant to musclepharm and consent to musclepharm's commercial use of the name and appearance rights to advertise, promote, endorse and publicize products, licensed products, and musclepharm's business, worldwide in any media selected by musclepharm (excluding telephone or texting campaigns), including but not limited to print, radio, television, electronic, wireless or internet, pursuant to the terms and conditions set forth herein. musclepharm acknowledges that any use on products requires approval and that use of the name and appearance rights on products is limited to the licensed products."", ""as provided below, during the term, the as parties grant to musclepharm the right to use the trademarks as defined in this agreement and the name and appearance rights, which shall include endorser's name, approved photograph, approved picture (including, without limitation, any copyrighted pictures and video images of the endorser owned by the endorser which endorser agrees to make available for use hereunder), approved appearance, or approved likeness, including video and other recordings of endorser's appearance, along with the right to use endorser's voice, including audio or other recordings of endorser's voice, endorser's signature, personal or professional background and experience, reputation, approved quotations and approved endorsements, or approved paraphrases of endorser's approved quotations and endorsements, including approved touch-ups, approved simulations or approved compositions of any of the above whether generated by computer or by any other means, for the period of time and for the purposes set forth in this agreement. musclepharm acknowledges that the use of some works may require that musclepharm obtain a copyright license from third parties.""]",License Grant,Exclusivity,SVM,0.2983,0.078,4.0,
"[""with respect to beacon optofluidic machines (including related hardware and software), consumables and services for which ginkgo has placed a purchase order pursuant to this agreement, the parties agree to the bli terms and conditions that apply with respect to beacon optofluidic machines (including related hardware and software), consumables and services, unless, notwithstanding anything to the contrary set forth in the bli terms and conditions (including any language regarding the treatment of additional or different terms set forth therein), a term in such bli terms and conditions is inconsistent with a term in this agreement, in which case this agreement shall control, including as follows:<omitted>4.1.9 ginkgo may elect, at any time in its sole discretion, to terminate the software license agreement that comprises part of the bli terms and conditions and, upon such termination, ginkgo's right to use such underlying software shall term""]",Termination For Convenience,License Grant,SVM,0.3003,0.0966,4.0,
"['for the avoidance of doubt, subject to, and without limiting or amending the exclusivity restrictions and confidentiality obligations set forth in section 6.1 and article 17 of the development and license agreement, respectively, antares or its subcontractor may manufacture the vibex® qs device or other devices (other than the device) for itself or other persons.']",Competitive Restriction Exception,Uncapped Liability,SVM,0.1832,0.0362,4.0,
"['any and all web pages used by contractor in connection with the offering (the ""web pages""), and all associated proprietary rights, shall be owned exclusively by the company.']",Ip Ownership Assignment,Exclusivity,SVM,0.2265,0.1277,4.0,
"['garman hereby grants to sparkling, for the use of sparkling and affiliated companies of sparkling operating at authorized locations, a non-transferable and non-exclusive licence to use: (i) the software, safely in executable object code format, at each as400 at each of the authorized locations; and (ii) the documentation.', ""garman hereby grants to sparkling, a perpetual, fully paid, non-exclusive license entitling sparkling to use and reproduce the codes deposited with it pursuant to section (a) to change, update, add to, or substitute the codes, the software or any part thereof, limited to sparkling's needs for the use and improvement of the software or sparkling's operations, provided that sparkling shall only be entitled to utilize such license if sparkling terminates this agreement pursuant to section 17(c) due to garman's default, or if garman ceases to support the software as required pursuant to this agreement.""]",License Grant,Irrevocable Or Perpetual License,SVM,0.3865,0.163,4.0,
"['during the term of this agreement and for a period of two (2) years after expiration or termination for any reason of this agreement, maimon agrees not to:<omitted>suggest to, induce or persuade any customer, client, vendor, supplier, employee, consultant or agent of the company to terminate or diminish its relationship with the company.']",No-Solicit Of Employees,No-Solicit Of Customers,SVM,0.1313,0.0188,4.0,
"[""the rights granted under such agreements shall be included as exceptions to the exclusivity of intricon's license grant, if such agreements are executed by dynamic hearing and the third party before january 1, 2009."", 'to maintain exclusive rights to dynamic hearing technology for hearing aids intricon will make minimum annual payments to dynamic hearing as set out in the minimum payment schedule.']",Competitive Restriction Exception,Exclusivity,SVM,0.2232,0.1185,4.0,
"[""notwithstanding the aforesaid, it is agreed that any manufacturing methods applied by contractor, which are contractor's proprietary information, may be used by nice itself (including its affiliates) (but may not be transferred/disclosed to any third party) and by signing this agreement contractor hereby grants nice a personal, non exclusive, non transferable, perpetual license to use such manufacturing methods.""]",Irrevocable Or Perpetual License,Non-Transferable License,SVM,0.3502,0.1184,4.0,
"['during the initial one year period beginning on the amendment date, distributor shall be the only distributor appointed by netgear in [*], subject to distributor conducting mutually agreed to marketing activities as described in the marketing plan for [*] to be developed and agreed to by and between the parties and which shall be attached to and made a part of this agreement as exhibit 4a.']",Exclusivity,Minimum Commitment,SVM,0.1751,0.0723,4.0,
