clause_id,clause_text,true_label,bert_label,svm_label,hybrid_label,used_model,bert_confidence,bert_margin,clause_length,short_clause
31,"['ceres and iger shall use reasonable efforts to avoid any action that might jeopardize the ability of the parties, individually or jointly as the case may be, to obtain or retain valid/enforceable intellectual rights in joint intellectual property, iger intellectual property or ceres intellectual property.', 'the administering party shall keep the non-administering party advised as to all developments with respect to all patent and plant variety rights application(s) and issued patents and plant variety rights covering jointly owned joint intellectual property, which includes supplying copies of all papers received and filed in connection with such applications and patents in sufficient time for the non- administering party to comment thereon.', 'each party will notify the other party, in writing (""invention notice""), within thirty (30) days of reduction to practice or knowledge of conception or discovery of joint intellectual property, and each invention notice will describe the joint intellectual property with sufficient specificity to allow assessment by the other party.', 'ceres and iger shall have an undivided interest in joint intellectual property. consequently, any and all patent applications or plant variety rights applications that cover joint intellectual property shall be assigned jointly to ceres and iger as soon as practicable.', '""joint intellectual property"" shall mean (a) all patentable inventions conceived, discovered, developed and/or reduced to practice (i) jointly by one or more employees, agents, or students of ceres and by one or more employees, agents, or students of iger in the performance of any research project(s) or (ii) by one or more employees, agents or students of iger in the performance of any research project(s) to the extent ceres provides a financial contribution for such research project, which is not less than twenty-five percent (25%) of either the overall cost of such research project or of the activity during which the invention was made, unless expressly provided otherwise in a schedule; (b) patents, patent applications, plant variety rights, plant variety right applications, reissues, continuations, continuations-in-part and divisionals claiming such patentable inventions in any country of the world; (c) all trade secrets and copyrighted works created jointly by one or more employees, agents, or students of ceres and by one or more employees, agents, or students of iger in the performance of any research project(s); and (d) all germplasm and plant varieties created in the performance of plant breeding activities in the performance of any research project(s).']",Joint Ip Ownership,Ip Ownership Assignment,Joint Ip Ownership,Joint Ip Ownership,SVM,0.4827,0.4223,394,False
32,"[""the parties expressly agree that consultant may permit [*****] the use of consultant's name and/or likeness in [*****] print and/or television advertisement provided that this is executed in a manner consistent with [*****] past [*****] advertising practice using similarly situated professional golfers with competing golf club endorsement agreements that include [*****]."", 'notwithstanding paragraphs 4a, 4b and 4c above, consultant shall be entitled to endorse and play the [*****].', '(it is expressly understood by the parties that consultant may play [* ****] clubs in the bag other than adams golf clubs including, but not limited to, a putter by a manufacturer other than adams golf but may not endorse those clubs and/or putter.)', 'notwithstanding paragraphs 4a, 4b and 4c above, consultant shall not be required to wear adams golf [*****] in [*****] ads.']",Competitive Restriction Exception,Exclusivity,Non-Compete,Non-Compete,SVM,0.2478,0.1302,132,False
33,"['to the extent any insurance coverage required under this section is purchased on a ""claims-made"" basis, such insurance shall cover all prior acts of metavante during the term, and such insurance shall be continuously maintained until at least four (4) years beyond the expiration or termination of the term, or metavante shall purchase ""tail"" coverage, effective upon termination of any such policy or upon termination or expiration of the term, to provide coverage for at least four (4) years from the occurrence of either such event.', 'in addition, metavante agrees to provide to customer, at customer\'s expense, all necessary assistance to facilitate the orderly transition of services to customer or its designee (""termination assistance""). as part of the termination assistance, metavante shall assist customer to develop a plan for the transition of all services then being performed by metavante under this agreement, from metavante to customer or customer\'s designee, on a reasonable schedule developed jointly by metavante and customer.']",Post-Termination Services,Insurance,Post-Termination Services,Insurance,DistilBERT,0.7865,0.7623,159,False
34,"['during the term, rogers shall have the non-exclusive right to distribute and exhibit each licensed program on a vod basis for a period of ninety (90) consecutive days, or such longer period as may be agreed to by rogers and licensor (the ""license period"").', 'licensor grants to rogers the non-exclusive license and right to distribute and exhibit in canada (the ""territory"") all entertainment programming to which licensor owns or controls the vod distribution and exhibition rights in the territory (collectively, ""licensed programs"") to residential subscribers of rogers\' digital cable television service on a video-on-demand (""vod"") basis.']",License Grant,License Grant,License Grant,License Grant,Agreement,0.2816,0.059,96,False
35,"['each party or its designated representatives shall, upon reasonable notice to the other party, have the right, no more frequently than two (2) times per twelve (12) consecutive calendar months, at its own expense, at reasonable times and during normal business hours, to examine the books and records of such other party to the extent necessary to verify the accuracy of any statement, charge, computation, or demand made under or pursuant to this agreement.']",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8269,0.8113,74,False
36,"['impresse hereby grants to verticalnet a non-exclusive, non-transferable, royalty-free, right and license to link to the impresse area of the co-branded site.', ""impresse shall permit users who access the co-branded site to access and use co-branded content from the co-branded site for the personal use of such users in accordance with the then-current terms of impresse's standard license agreement governing the use of such co-branded content.""]",License Grant,License Grant,Non-Transferable License,Non-Transferable License,SVM,0.3827,0.1304,66,False
37,"['at mutually agreed upon times, hemispherx may review standard operating and other quality control procedures and records and the records of scien relating to the agreement.', 'such routine and general oversight review is to be requested at least twenty (20) business days in advance, limited to two (2) persons, completed within one (1) to two (2) business days and shall be offered to hemispherx one (1) time each calendar year.', ""hemispherx shall permit scien or its agent, at sciens' expense, to conduct periodic audits of hemispherx's quality system and manufacturing records relating to hemispherx's performance under this agreement."", ""the audits shall be conducted upon reasonable advance notice during regular business hours at hemispherx's principal office and in such a manner as not to unduly interfere with hemispherx's operations."", 'hemispherx will prepare a written report of the results of the audit and forward a copy to scien.', 'scien will make every reasonable effort to accommodate the special circumstances that may arise pursuant to ""for cause"" audits.', 'prior to an audit hemispherx will communicate to scien the scope of the audit.', ""hemispherx will be permitted to conduct periodic audits of the subcontractors to assure compliance to applicable gmp's, glp's and federal regulations (cfr's)."", 'hemispherx may perform audits for initial qualification of scien as well as periodic audits and ""for cause"" audits.', 'during the retention period, documentation shall be available for inspection by hemispherx, its authorized agents and authorized government agencies.']",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8692,0.8565,238,False
38,['dynamex agrees not to provide sameday delivery services for any other provider of next day or multiple day courier services.'],Exclusivity,Non-Compete,Competitive Restriction Exception,Competitive Restriction Exception,SVM,0.2623,0.1446,20,True
39,"[""in the event generic equivalents has captured the [ * ] of the quantity of lead compound sold by astellas during the [ * ] preceding such termination calculated on a annual basis; or in the event, after the entry into the market of generic equivalents, that astellas' annual sales fall below $[ * ] for all lead compounds, astellas may terminate this agreement upon [ * ] written notice to fg; provided, that astellas does not commercialize any lead compound after such termination until the expiration of the last to expire fg patents applicable to such lead compound.""]",Minimum Commitment,Post-Termination Services,Revenue/Profit Sharing,Revenue/Profit Sharing,SVM,0.3899,0.2964,99,False
40,"['to accept the validity of the proprietary marks as they exist now and in the future and agree that you will not contest the validity of any of the proprietary marks at any time;', 'during the term of this agreement and after its expiration or termination, you agree not to directly or indirectly contest, or aid in contesting, the validity or ownership of the proprietary marks or take any action detrimental to our rights in the proprietary marks.', 'you and all owners must execute a general release, in a form satisfactory to us, of all claims against us and our past, present and future affiliates, officers, directors, shareholders, agents and employees.']",Covenant Not To Sue,Covenant Not To Sue,Covenant Not To Sue,Covenant Not To Sue,Agreement,0.5414,0.5063,111,False
41,"['except for claims arising under section 6, in no event will either party be liable for any special, indirect, incidental or consequential damages.']",Cap On Liability,Cap On Liability,Uncapped Liability,Uncapped Liability,SVM,0.6785,0.4895,23,False
42,"['notwithstanding the provisions of section 1 hereof, the sponsor shall have the right at any time prior to december 31, 2010 to terminate this agreement by giving written notice of such termination to racing.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.7746,0.7263,34,False
43,"['hswi shall pay to world book royalties calculated as a defined percentage of the net revenue received by hswi from<omitted>advertising generated directly from content by web pages containing content or any portion of the content provided by world book to hswi hereunder.', 'the royalty rate shall be [*] percent ([*]%) on the affinities and reference content; and [*] percent ([*]%) on translated content.', 'royalties for content will be calculated based on the royalty rates set forth in subsection (i) and compared to the payments/advances paid by hswi during the term of this agreement.']",Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Agreement,0.6888,0.6411,93,False
44,"['except for claims under section 9 hereof, the liability of a party to the other for direct damages shall not exceed fifteen million dollars.']",Uncapped Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6786,0.4945,24,False
45,"['neither party shall sell, transfer or assign this agreement or the rights or obligations hereunder, without the prior written consent of the other party, such consent not to be unreasonably withheld or delayed.']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9313,0.9209,33,False
46,"['in no event shall developer be liable for any loss of profit or any other commercial damage, including but not limited to special, incidental, consequential or other indirect damages under any cause of action arising out of or relating to this agreement, including, without limitation, claims arising from malfunction or defects in the products.', ""developer's maximum liability hereunder is expressly limited to the lesser of: the amount paid under this agreement by distributor to developer within the six (6) month period immediately preceding the cause giving rise to the claim; or five hundred thousand dollars ($5oo,000).""]",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,DistilBERT,0.7024,0.5307,96,False
